Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by.1,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,HOST,host_subject_id,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR29274153,WGS,296,747136190,PRJNA1119915,SAMN41664318,Pathogen.cl,326282164,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791395,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14270,Illumina HiSeq 2000,missing,missing,EUST14270,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:43:00Z,1,EUST14270,SRP511583,not applicable
SRR29274154,WGS,296,739924349,PRJNA1119915,SAMN41664317,Pathogen.cl,322669879,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791394,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14264,Illumina HiSeq 2000,missing,missing,EUST14264,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-05T00:00:00Z,2024-06-04T09:43:00Z,1,EUST14264,SRP511583,not applicable
SRR29274155,WGS,294,823721128,PRJNA1119915,SAMN41664316,Pathogen.cl,349353244,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791393,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14257,Illumina HiSeq 2000,missing,missing,EUST14257,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-05T00:00:00Z,2024-06-04T09:43:00Z,1,EUST14257,SRP511583,not applicable
SRR29274156,WGS,296,820598064,PRJNA1119915,SAMN41664315,Pathogen.cl,348504621,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2018-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791392,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14249,Illumina HiSeq 2000,missing,missing,EUST14249,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-05T00:00:00Z,2024-06-04T09:43:00Z,1,EUST14249,SRP511583,not applicable
SRR29274157,WGS,297,773444659,PRJNA1119915,SAMN41664314,Pathogen.cl,325563095,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2018-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791391,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14230,Illumina HiSeq 2000,missing,missing,EUST14230,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:43:00Z,1,EUST14230,SRP511583,not applicable
SRR29274158,WGS,295,835918604,PRJNA1119915,SAMN41664313,Pathogen.cl,354109835,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791390,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14220,Illumina HiSeq 2000,missing,missing,EUST14220,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:43:00Z,1,EUST14220,SRP511583,not applicable
SRR29274159,WGS,294,921312679,PRJNA1119915,SAMN41664312,Pathogen.cl,387464900,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791389,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14219,Illumina HiSeq 2000,missing,missing,EUST14219,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-05T00:00:00Z,2024-06-04T09:43:00Z,1,EUST14219,SRP511583,not applicable
SRR29274160,WGS,296,946635240,PRJNA1119915,SAMN41664311,Pathogen.cl,399304348,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791388,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14207,Illumina HiSeq 2000,missing,missing,EUST14207,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:43:00Z,1,EUST14207,SRP511583,not applicable
SRR29274161,WGS,297,853508168,PRJNA1119915,SAMN41664167,Pathogen.cl,333524895,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2017-05,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791387,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST10865,Illumina HiSeq 2000,missing,missing,EUST10865,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:43:00Z,1,EUST10865,SRP511583,not applicable
SRR29274162,WGS,297,519896965,PRJNA1119915,SAMN41664742,Pathogen.cl,226514755,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-05,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791386,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST21289,Illumina HiSeq 2000,missing,missing,EUST21289,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:43:00Z,1,EUST21289,SRP511583,not applicable
SRR29274163,WGS,298,561747005,PRJNA1119915,SAMN41664741,Pathogen.cl,239970146,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-05,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791385,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST21272,Illumina HiSeq 2000,missing,missing,EUST21272,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:42:00Z,1,EUST21272,SRP511583,not applicable
SRR29274164,WGS,289,1014843902,PRJNA1119915,SAMN41664210,Pathogen.cl,404565292,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2017-08,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791384,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST11309,Illumina HiSeq 2000,missing,missing,EUST11309,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:43:00Z,1,EUST11309,SRP511583,not applicable
SRR29274165,WGS,295,380994135,PRJNA1119915,SAMN41664740,Pathogen.cl,168331039,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-07,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791383,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST21264,Illumina HiSeq 2000,missing,missing,EUST21264,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:43:00Z,1,EUST21264,SRP511583,not applicable
