Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,HOST,host_subject_id,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_id,ReleaseDate,create_date,version,Sample Name,SRA Study,strain,isolate_name_alias
SRR29093114,WGS,302,284645570,PRJNA1109295,SAMN41467967,Pathogen.cl,124632062,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617442,South Africa,Africa,South Africa,tuberculosis,Homo sapiens,82B8A3_8162D76FD727,Illumina HiSeq 2000,missing,missing,82B8A3_8162D76FD727_C034,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1025,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,82B8A3_8162D76FD727,SRP507535,not applicable,c034
SRR29093115,WGS,302,454448996,PRJNA1109295,SAMN41468362,Pathogen.cl,197659983,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617441,South Korea,Asia,South Korea,tuberculosis,Homo sapiens,883E88_A1D0C6E83F02,Illumina HiSeq 2000,missing,missing,883E88_A1D0C6E83F02_42,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_A1D0C6E83F02,SRP507535,not applicable,42
SRR29093116,WGS,302,336274282,PRJNA1109295,SAMN41468361,Pathogen.cl,147300496,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617440,South Korea,Asia,South Korea,tuberculosis,Homo sapiens,883E88_9F61408E3AFB,Illumina HiSeq 2000,missing,missing,883E88_9F61408E3AFB_56,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_9F61408E3AFB,SRP507535,not applicable,56
SRR29093117,WGS,302,467391508,PRJNA1109295,SAMN41468360,Pathogen.cl,202315061,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617439,South Korea,Asia,South Korea,tuberculosis,Homo sapiens,883E88_9BF31C7FF062,Illumina HiSeq 2000,missing,missing,883E88_9BF31C7FF062_15,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_9BF31C7FF062,SRP507535,not applicable,15
SRR29093118,WGS,302,389495440,PRJNA1109295,SAMN41468359,Pathogen.cl,169332183,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617438,South Korea,Asia,South Korea,tuberculosis,Homo sapiens,883E88_9A1158154DFA,Illumina HiSeq 2000,missing,missing,883E88_9A1158154DFA_52,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_9A1158154DFA,SRP507535,not applicable,52
SRR29093119,WGS,302,493014396,PRJNA1109295,SAMN41468358,Pathogen.cl,212602092,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617437,South Korea,Asia,South Korea,tuberculosis,Homo sapiens,883E88_98F137082101,Illumina HiSeq 2000,missing,missing,883E88_98F137082101_20,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:02:00Z,1,883E88_98F137082101,SRP507535,not applicable,20
SRR29093120,WGS,302,611784050,PRJNA1109295,SAMN41468357,Pathogen.cl,266518461,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617436,South Korea,Asia,South Korea,tuberculosis,Homo sapiens,883E88_98DCE83DA57B,Illumina HiSeq 2000,missing,missing,883E88_98DCE83DA57B_93,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_98DCE83DA57B,SRP507535,not applicable,93
SRR29093121,WGS,302,431377102,PRJNA1109295,SAMN41468356,Pathogen.cl,187078424,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617435,South Korea,Asia,South Korea,tuberculosis,Homo sapiens,883E88_9778D5D219C5,Illumina HiSeq 2000,missing,missing,883E88_9778D5D219C5_82,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_9778D5D219C5,SRP507535,not applicable,82
SRR29093122,WGS,302,514401432,PRJNA1109295,SAMN41468355,Pathogen.cl,223547991,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617434,South Korea,Asia,South Korea,tuberculosis,Homo sapiens,883E88_93DB85ED909C,Illumina HiSeq 2000,missing,missing,883E88_93DB85ED909C_86,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_93DB85ED909C,SRP507535,not applicable,86
SRR29093123,WGS,302,611403832,PRJNA1109295,SAMN41468354,Pathogen.cl,266626780,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617433,South Korea,Asia,South Korea,tuberculosis,Homo sapiens,883E88_92CC227532D1,Illumina HiSeq 2000,missing,missing,883E88_92CC227532D1_92,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_92CC227532D1,SRP507535,not applicable,92
