BioSample,Sample,Run,ISOLATION_LOCATION,DB_OF_ORIGIN,TESTING_LOCATION,STUDY_NAME,STUDY_PMID,MEDIA,INH,RIF,RFB,EMB,STM,ETH,CIP,CYS,CAP,KAN,OFX,PAS,PZA,AMI,MXF,PRO,CFZ,LEV,CLAR,GATI,AMOXCLAV,LZD,Platform,TaxID,ScientificName,LoadDate,ReleaseDate,Combined_Runs,Num_Runs,TDR_Sample
SAMEA3558121,ERS865270,ERR1213836,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.2-0.8,>120,,1-2,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:36:03,2016-01-20 05:34:31,"ERR1213836,ERR1034588,ERR1227524",3,nan
SAMEA3558121,ERS865270,ERR1034588,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.2-0.8,>120,,1-2,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:51:33,2015-10-27 04:36:28,"ERR1213836,ERR1034588,ERR1227524",3,nan
SAMEA3558121,ERS865270,ERR1227524,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.2-0.8,>120,,1-2,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-03-28 08:35:52,2016-03-28 08:27:18,"ERR1213836,ERR1034588,ERR1227524",3,nan
SAMEA3558122,ERS865271,ERR1213837,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,1.6-3.2,>120,,2-4,4-8,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:20:47,2016-01-20 05:34:31,"ERR1213837,ERR1227525,ERR1034589",3,nan
SAMEA3558122,ERS865271,ERR1227525,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,1.6-3.2,>120,,2-4,4-8,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-03-28 08:44:55,2016-03-28 08:27:18,"ERR1213837,ERR1227525,ERR1034589",3,nan
SAMEA3558122,ERS865271,ERR1034589,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,1.6-3.2,>120,,2-4,4-8,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:47:21,2015-10-27 04:36:28,"ERR1213837,ERR1227525,ERR1034589",3,nan
SAMEA3558123,ERS865272,ERR1227526,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,>120,,<1,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-03-28 08:52:36,2016-03-28 08:27:18,"ERR1227526,ERR1213838,ERR1034590",3,nan
SAMEA3558123,ERS865272,ERR1213838,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,>120,,<1,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:24:20,2016-01-20 05:34:31,"ERR1227526,ERR1213838,ERR1034590",3,nan
SAMEA3558123,ERS865272,ERR1034590,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,>120,,<1,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:47:26,2015-10-27 04:36:28,"ERR1227526,ERR1213838,ERR1034590",3,nan
SAMEA3558124,ERS865273,ERR1227527,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.2-0.8,>120,,4-8,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-03-28 08:49:15,2016-03-28 08:27:18,"ERR1227527,ERR1213839,ERR1034591",3,nan
