name,drug_code,range,plate,Medium
SAMEA104362062,AMK,"[0,0.25]",UKMYC5,UKMYC5
SAMEA104362062,BDQ,"[0.06,0.06]",UKMYC5,UKMYC5
SAMEA104362062,CFZ,"[0.12,0.12]",UKMYC5,UKMYC5
SAMEA104362062,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362062,EMB,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362062,ETO,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362062,INH,"[0.05,0.05]",UKMYC5,UKMYC5
SAMEA104362062,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362062,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362062,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362062,MXF,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362062,RIF,"[0.12,0.12]",UKMYC5,UKMYC5
SAMEA104362063,AMK,"[0,0.25]",UKMYC5,UKMYC5
SAMEA104362063,BDQ,"[0.03,0.03]",UKMYC5,UKMYC5
SAMEA104362063,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362063,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362063,EMB,"(8,)",UKMYC5,UKMYC5
SAMEA104362063,ETO,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362063,INH,"(1.6,)",UKMYC5,UKMYC5
SAMEA104362063,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362063,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362063,MB,"[0.12,0.12]",UKMYC5,UKMYC5
SAMEA104362063,MXF,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362063,RIF,"(4,)",UKMYC5,UKMYC5
SAMEA104362064,AMK,"[0,0.25]",UKMYC5,UKMYC5
SAMEA104362064,BDQ,"[0.03,0.03]",UKMYC5,UKMYC5
SAMEA104362064,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362064,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362064,EMB,"(8,)",UKMYC5,UKMYC5
SAMEA104362064,ETO,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362064,INH,"(1.6,)",UKMYC5,UKMYC5
SAMEA104362064,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362064,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362064,MB,"[0.12,0.12]",UKMYC5,UKMYC5
SAMEA104362064,MXF,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362064,RIF,"(4,)",UKMYC5,UKMYC5
SAMEA104362065,AMK,"[0,0.25]",UKMYC5,UKMYC5
SAMEA104362065,BDQ,"[0.03,0.03]",UKMYC5,UKMYC5
SAMEA104362065,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362065,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362065,EMB,"[8.0,8.0]",UKMYC5,UKMYC5
SAMEA104362065,ETO,"[8.0,8.0]",UKMYC5,UKMYC5
SAMEA104362065,INH,"(1.6,)",UKMYC5,UKMYC5
SAMEA104362065,KAN,"[0,1]",UKMYC5,UKMYC5
SAMEA104362065,LZD,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362065,MB,"(2,)",UKMYC5,UKMYC5
SAMEA104362065,MXF,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362065,RIF,"(4,)",UKMYC5,UKMYC5
SAMEA104362066,AMK,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362066,BDQ,"[0.06,0.06]",UKMYC5,UKMYC5
SAMEA104362066,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362066,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362066,EMB,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362066,ETO,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362066,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362066,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362066,LZD,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362066,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362066,RIF,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362067,AMK,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362067,BDQ,"[0.03,0.03]",UKMYC5,UKMYC5
SAMEA104362067,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362067,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362067,ETO,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362067,INH,"[0.05,0.05]",UKMYC5,UKMYC5
SAMEA104362067,KAN,"[4.0,4.0]",UKMYC5,UKMYC5
SAMEA104362067,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362067,LZD,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362067,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362067,MXF,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362067,RIF,"[0.12,0.12]",UKMYC5,UKMYC5
SAMEA104362068,AMK,"[0,0.25]",UKMYC5,UKMYC5
SAMEA104362068,BDQ,"[0.03,0.03]",UKMYC5,UKMYC5
SAMEA104362068,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362068,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362068,EMB,"(8,)",UKMYC5,UKMYC5
SAMEA104362068,ETO,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362068,INH,"(1.6,)",UKMYC5,UKMYC5
SAMEA104362068,KAN,"[0,1]",UKMYC5,UKMYC5
SAMEA104362068,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362068,MB,"(2,)",UKMYC5,UKMYC5
SAMEA104362068,MXF,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362068,RIF,"(4,)",UKMYC5,UKMYC5
SAMEA104362069,AMK,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362069,BDQ,"[0.12,0.12]",UKMYC5,UKMYC5
SAMEA104362069,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362069,EMB,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362069,ETO,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362069,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362069,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362069,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362070,AMK,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362070,BDQ,"[0.03,0.03]",UKMYC5,UKMYC5
SAMEA104362070,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362070,EMB,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362070,ETO,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362070,INH,"[0,0.025]",UKMYC5,UKMYC5
SAMEA104362070,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362070,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362070,LZD,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362070,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362070,MXF,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362070,RIF,"[0.12,0.12]",UKMYC5,UKMYC5
SAMEA104362071,AMK,"[0,0.25]",UKMYC5,UKMYC5
SAMEA104362071,BDQ,"[0.06,0.06]",UKMYC5,UKMYC5
SAMEA104362071,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362071,ETO,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362071,INH,"[0.05,0.05]",UKMYC5,UKMYC5
SAMEA104362071,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362071,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362071,LZD,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362071,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362072,AMK,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362072,BDQ,"[0.06,0.06]",UKMYC5,UKMYC5
SAMEA104362072,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362072,EMB,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362072,ETO,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362072,INH,"[0.05,0.05]",UKMYC5,UKMYC5
SAMEA104362072,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362072,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362072,LZD,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362072,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362072,MXF,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362072,RIF,"[0.12,0.12]",UKMYC5,UKMYC5
SAMEA104362073,AMK,"[0,0.25]",UKMYC5,UKMYC5
SAMEA104362073,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362073,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362073,EMB,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362073,ETO,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362073,INH,"[0,0.025]",UKMYC5,UKMYC5
SAMEA104362073,KAN,"[0,1]",UKMYC5,UKMYC5
