ID,ROLLINGDB_ID,ISOLATION_LOCATION,DB_OF_ORIGIN,TESTING_LOCATION,MEDIA,RIF,INH,RFB,BDQ,EMB,STR,KAN,AMI,CAP,OFX,LEV,MXF,ETH,PAS,CYS,LIN,CFZ,AMI_PHENOTYPE_QUALITY,CYS_PHENOTYPE_QUALITY,EMB_PHENOTYPE_QUALITY,ETH_PHENOTYPE_QUALITY,INH_PHENOTYPE_QUALITY,KAN_PHENOTYPE_QUALITY,MXF_PHENOTYPE_QUALITY,OFX_PHENOTYPE_QUALITY,PAS_PHENOTYPE_QUALITY,RFB_PHENOTYPE_QUALITY,RIF_PHENOTYPE_QUALITY,STR_PHENOTYPE_QUALITY
C233,C233,,CASS,Not specified,MYCOTB,0.06,0.06,0.06,,1.0,0.5,1.2,0.2,,0.5,,0.062,0.6,0.25,16.0,,,,,,,,,,,,,,
C234,C234,,CASS,Not specified,MYCOTB,0.125,0.03,0.12,,1.0,0.5,2.5,0.2,,1.0,,0.062,1.2,1.5,16.0,,,,,,,,,,,,,,
C236,C236,,CASS,Not specified,MYCOTB,0.06,0.03,0.06,,1.0,0.125,1.2,0.2,,0.5,,0.062,0.6,0.25,8.0,,,,,,,,,,,,,,
C237,C237,,CASS,Not specified,MYCOTB,8.0,0.03,3.0,,2.0,0.5,2.5,0.4,,1.0,,0.125,1.2,0.25,8.0,,,,,,,,,,,,,,
C238,C238,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,1.0,0.25,2.5,0.2,,2.0,,0.062,0.6,0.25,16.0,,,,,,,,,,,,,,
C239,C239,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,1.0,0.25,0.6,0.2,,0.5,,0.062,0.6,0.25,16.0,,,,,,,,,,,,,,
C240,C240,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,0.5,0.5,1.2,0.2,,0.5,,0.062,0.3,0.25,16.0,,,,,,,,,,,,,,
C242,C242,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,0.5,0.5,1.2,0.2,,0.5,,0.062,0.3,0.25,16.0,,,,,,,,,,,,,,
C243,C243,,CASS,Not specified,MYCOTB,8.0,1.0,8.0,,8.0,0.25,40.0,12.8,,4.0,,0.5,20.0,0.25,16.0,,,,,,,,,,,,,,
C244,C244,,CASS,Not specified,MYCOTB,8.0,1.0,2.0,,8.0,32.0,40.0,12.8,,4.0,,1.0,10.0,0.25,16.0,,,,,,,,,,,,,,
C245,C245,,CASS,Not specified,MYCOTB,8.0,0.5,16.0,,4.0,32.0,5.0,12.8,,8.0,,1.0,5.0,3.0,32.0,,,,,,,,,,,,,,
C246,C246,,CASS,Not specified,MYCOTB,8.0,4.0,4.0,,8.0,32.0,40.0,12.8,,8.0,,1.0,10.0,2.0,64.0,,,,,,,,,,,,,,
C247,C247,,CASS,Not specified,MYCOTB,0.06,0.5,0.12,,1.0,1.0,5.0,0.4,,8.0,,0.25,1.2,1.0,16.0,,,,,,,,,,,,,,
C248,C248,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,1.0,0.25,1.2,0.2,,0.5,,0.062,0.6,1.0,16.0,,,,,,,,,,,,,,
C249,C249,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,1.0,0.25,1.2,0.2,,0.5,,0.062,0.6,0.25,16.0,,,,,,,,,,,,,,
C250,C250,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,0.5,0.25,2.5,0.2,,0.5,,0.062,1.2,0.25,16.0,,,,,,,,,,,,,,
C251,C251,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,1.0,0.5,5.0,0.4,,1.0,,0.125,1.2,1.0,32.0,,,,,,,,,,,,,,
