covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,HR_TCC_assoc,HR_TCC_assoc_lower,HR_TCC_assoc_upper,exclude_resistance,MIC_type,include_drugs,num_pids,significant
F2,0.017429252201445405,0.014938295100104838,0.005660635124229571,0.02078761806180873,0.1441791179811027,0.39156563198854194,0.12088610643137536,366.2657031501207,0.2813849544624037,250.8088308086472,148.86803411421766,0.9038475352887781,1.9664619897988986,-0.26609350303112395,0.3009520074340148,0.9827217586067598,0.7401132918303696,1.3048570610734362,0,predicted,INH,353,
INH_AUC,0.0171766748749395,0.00011485588025934576,2.4787412820893116e-05,0.00014046954017426865,0.011851984651283879,0.2230069532102926,1.4492657036202639,872.2059432659773,0.18234316053961727,285.3760955621729,215.02296879739197,0.14762283121252706,1.9626875507537218,-0.006085067851859562,0.04043841760173856,0.9829700031904046,0.9603683044738077,1.0061036194874717,0,predicted,INH,353,
INH_pred_MIC,-0.2710358152710763,0.059284761477391014,0.012691110409803528,0.07239890890085465,0.26907045341481595,0.2212060417661441,-1.007304264854493,883.8568196122344,0.18113736273874753,285.7969394319273,215.964401420503,0.31406426170525525,1.9626516007246462,-0.7991273713733711,0.25705574083121857,1.3113220348977077,0.7733251067797966,2.223599704875364,0,predicted,INH,353,
Not_Lineage_2,0.2659022864888652,0.017301040505210957,0.00833256366270345,0.025911356290004524,0.16097004780394558,0.49767618208859743,1.6518743090187962,262.6274584605237,0.3322989228516398,233.03899289218703,123.4750470975978,0.09975526128648138,1.9690378854377437,-0.05105383605782832,0.5828584090355587,0.7665140226183111,0.5583002331630248,1.052379547724353,0,predicted,INH,353,
TTP_baseline,1.2613025899553096,0.061158581880009444,0.02365427334511558,0.08560133100329555,0.29257705139551793,0.39966180333026263,4.311009985025202,355.6795799082874,0.28554169470034385,249.3580580123817,146.58851575812093,2.1068279593659008e-05,1.9666560386034782,0.6859041650715141,1.8367010148391052,0.28328478215326636,0.1593422276191752,0.5036346547847953,0,predicted,INH,353,1.0
bl_bmi,0.02129715119566581,0.0004360296897886802,9.226965932677726e-05,0.00053137500442635,0.023051572710475744,0.21866702399067942,0.9238914612531994,900.7443125304897,0.17943131280817512,286.3923797737976,217.3012669102121,0.35579025464385716,1.9626011456830064,-0.02394389181570901,0.06653819420704063,0.9789280317109833,0.935627179635665,1.0242328484329664,0,predicted,INH,353,
diabetes,0.2553599509617487,0.09030823039655288,0.024979342029724523,0.11612021716060156,0.34076416648556457,0.28582097833946635,0.7493744239465573,586.90905384125,0.2222867593190002,271.43510257801944,185.5988859969032,0.4539318082686786,1.9640141652838865,-0.41390569903705676,0.9246256009605541,0.7746376162172519,0.39667990785269797,1.512714469726993,0,predicted,INH,353,
fstrom1_baseline,0.1603885766272472,0.0219336512966911,0.006349398910985629,0.02849469683804292,0.16880372282044884,0.2991314785031534,0.950148337651578,546.9907408175558,0.2302549691489346,268.6540622929685,180.16578294481442,0.34245650118421467,1.9643103832140418,-0.17119432883414554,0.49197148208863994,0.8518127301317935,0.6114198019995032,1.1867213407902828,0,predicted,INH,353,
screen_sex,0.10024165829904953,0.021087398874352025,0.00665472674419708,0.027963949843355675,0.16722425016532644,0.32609763821404236,0.599444507599499,479.5718625482466,0.24590771359281136,263.1909891813022,169.93175223247533,0.5491595907285958,1.9649229239573611,-0.22834110429238091,0.42882442089047995,0.904618782983152,0.6512742692991276,1.256513854610862,0,predicted,INH,353,
screen_years,-0.024522825140235113,3.347957438793376e-05,1.4016615183331237e-05,4.7963410077376036e-05,0.0069255620766386925,0.43261707934561866,-3.5409147833582364,318.0174308253309,0.30197677075246554,243.62193790958017,137.94621085983914,0.00045833681140492074,1.9674515359000633,-0.03814853288488914,-0.010897117395581087,1.0248259826370103,1.0109567072351382,1.0388855300839623,0,predicted,INH,353,1.0
