Serial No.,Original ID,GReAT ID,Judgement,Medium,INH,RFP,RFB,EB,SM,KM,AMK,CPM,OFLX,LVFX,MFLX,TH,PAS,CS,LZD,MEP/CV,EVM,,Original ID,Judgement (w),Method,INH 0.2,INH 1.0,RFP 40,EB 2.0,SM 4.0,KM20,KM 30,AMK 30,CPM 40,LVFX 2.0,MFLX 0.5,TH 40,CS 30,PAS 1.0,Comments
19,15-D13-4,JPN-R2012-0019,10days,7H9,8,>32,>8,4,>64,4,2,4,1,0.5,0.12,0.5,>64,16,1,1/32,8,,15-D13-4,6,L-J,R,R,R,R,R,S,S,S,S,S,S,S,S,S,
20,15-C17-1,JPN-R2012-0020,10days,7H9,4,32,4,16,16,2,2,4,>32,16,8,4,>64,32,0.5,2/32,4,,15-C17-1,6,L-J,R,S,R,R,R,S,S,S,S,R,R,R,S,R,
21,15-C17-2,JPN-R2012-0021,10days,7H9,1,>32,>8,16,32,2,1,4,8,4,2,8,>64,32,1,2/32,8,,15-C17-2,6,L-J,R,S,R,R,R,S,S,S,S,R,R,S,S,R,
22,15-C17-3,JPN-R2012-0022,10days,7H9,8,>32,4,4,8,4,2,4,4,2,0.5,>32,>64,64,1,1/32,8,,15-C17-3,6,L-J,R,S,R,R,R,S,S,S,S,R,R,R,S,S,
23,15-C17-4,JPN-R2012-0023,10days,7H9,>32,>32,1,1,>64,64,32,>32,1,0.5,0.12,16,>64,32,1,0.5/32,>32,,15-C17-4,6,L-J,R,R,R,S,R,R,R,S,R,S,S,R,S,S,
24,15-C17-5,JPN-R2012-0024,10days,7H9,8,>32,8,16,1,4,2,4,1,0.5,0.12,1,>64,32,1,1/32,4,,15-C17-5,6,L-J,R,R,R,R,S,S,S,S,S,S,S,S,S,S,
25,15-C17-6,JPN-R2012-0025,10days,7H9,>32,>32,4,2,1,4,2,4,16,8,2,1,>64,16,1,1/32,8,,15-C17-6,6,L-J,R,R,R,R,S,S,S,S,S,R,R,S,S,S,
26,15-C17-7,JPN-R2012-0026,10days,7H9,8,>32,8,2,1,4,2,4,0.5,0.25,0.12,2,>64,32,1,2/32,8,,15-C17-7,6,L-J,R,R,R,S,S,S,S,S,S,S,S,S,S,S,
27,15-C17-8,JPN-R2012-0027,10days,7H9,1,16,4,4,2,2,1,2,2,1,0.5,2,>64,32,0.5,1/32,4,,15-C17-8,6,L-J,R,R,R,R,S,S,S,S,S,R,R,R,S,R,
28,15-C17-9,JPN-R2012-0028,10days,7H9,8,>32,8,8,>64,32,8,32,1,0.5,0.12,2,>64,32,1,1/32,16,,15-C17-9,6,L-J,R,R,R,R,R,R,S,S,R,S,S,R,S,R,
29,15-C17-10,JPN-R2012-0029,10days,7H9,8,>32,>8,8,>64,64,8,>32,16,8,2,4,>64,16,1,1/32,>32,,15-C17-10,6,L-J,R,S,R,R,R,R,R,R,R,R,R,R,S,R,
30,15-C17-11,JPN-R2012-0030,10days,7H9,8,>32,8,16,1,4,2,2,1,0.5,0.12,2,>64,32,1,1/32,8,,15-C17-11,6,L-J,R,R,R,R,S,S,S,S,S,S,S,S,S,S,
31,15-D15-1,JPN-R2012-0031,10days,7H9,1,>32,>8,4,>64,64,8,4,4,2,1,4,>64,16,1,0.06/32,8,,15-D15-1,6,L-J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
32,15-D15-2,JPN-R2012-0032,10days,7H9,16,>32,4,4,>64,64,8,4,8,4,1,4,>64,>128,0.5,2/32,16,,15-D15-2,6,L-J,R,R,R,R,R,R,R,S,S,R,R,R,R,R,
33,15-D15-3,JPN-R2012-0033,10days,7H9,>32,>32,8,8,8,2,1,2,8,4,1,0.25,>64,64,1,0.12/32,4,,15-D15-3,6,L-J,R,R,R,R,R,S,S,S,S,R,R,S,S,R,
34,15-D15-4,JPN-R2012-0034,10days,7H9,16,>32,2,8,32,>64,>64,8,32,16,4,16,>64,64,0.5,0.25/32,4,,15-D15-4,6,L-J,R,R,R,R,R,R,R,R,R,R,R,R,R,R,
35,15-D15-5,JPN-R2012-0035,10days,7H9,16,>32,2,8,16,>64,>64,>32,16,8,2,1,>64,64,0.5,0.5/32,16,,15-D15-5,6,L-J,R,R,R,R,R,R,R,R,R,R,R,R,R,R,
36,15-D15-6,JPN-R2012-0036,10days,7H9,8,>32,8,8,4,4,2,4,1,0.5,0.12,1,>64,32,1,2/32,4,,15-D15-6,6,L-J,R,R,R,R,R,S,S,S,S,S,S,S,S,S,
37,15-D15-7,JPN-R2012-0037,10days,7H9,16,>32,8,4,4,2,2,4,4,2,1,8,>64,32,1,1/32,8,,15-D15-7,6,L-J,R,R,R,R,R,S,S,S,S,R,R,R,S,R,
38,15-D15-8,JPN-R2012-0038,10days,7H9,16,>32,1,8,4,>64,>64,16,4,2,0.5,32,>64,64,0.5,0.5/32,4,,15-D15-8,6,L-J,R,R,R,R,S,R,R,R,R,R,R,R,R,R,
39,15-D15-9,JPN-R2012-0039,10days,7H9,1,16,0.5,1,4,4,2,2,0.5,0.25,0.12,8,>64,16,0.5,0.5/32,4,,15-D15-9,6,L-J,S,S,R,S,S,S,S,S,S,S,S,R,S,S,
40,15-D15-10,JPN-R2012-0040,10days,7H9,8,>32,>8,8,16,4,2,4,0.5,0.25,0.06,8,>64,32,0.5,0.25/32,4,,15-D15-10,6,L-J,R,R,R,R,R,S,S,S,S,S,S,R,S,S,
41,15-D15-11,JPN-R2012-0041,10days,7H9,8,>32,>8,8,>64,2,1,2,4,2,0.5,2,>64,16,1,1/32,4,,15-D15-11,6,L-J,R,R,R,R,R,S,S,S,S,R,R,R,S,R,
