Continent,Country,Region (Province or State),Organism,"SubType (e.g., Rif-S, Rif-R, MDR, Pre-XDR, XDR-TB)",WGS_fastqID,Date of DST,Investigator Name,BDQ MGIT,BDQ Agar,BDQ Broth,INH,RMP,LZD,CFZ,LVX,OFX,MXF,CAP,KAN,AMI,EMB
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,Pre-XDR,TRL0115027,19/01/2016,CTB,0.5,0.25,0.06,>16,>4,2,0.06,1,1,0.5,2,8,2,>16
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,Pre-XDR,TRL0115030,19/01/2016,CTB,0.5,0.06,0.015,>16,>4,1,0.06,>4,>8,>4,2,4,2,8
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,Pre-XDR,TRL0115039,25/01/2016,CTB,1,0.06,0.06,16,>4,1,0.03,4,8,1,2,4,1,>16
Africa,South Africa,Mpumalanga,M. tuberculosis,Pre-XDR,TRL0115051,18/01/2016,CTB,0.5,0.12,0.12,8,>4,1,0.12,4,8,4,2,2,1,4
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,XDR,TRL0115095,19/01/2016,CTB,0.5,0.06,0.03,>16,>4,1,≤0.015,4,8,2,2,8,2,16
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,XDR,TRL0115096,19/01/2016,CTB,0.5,0.06,0.03,>16,>4,0.5,≤0.015,4,8,2,2,16,2,16
Africa,South Africa,Mpumalanga,M. tuberculosis,XDR,TRL0115115,23/03/2016,CTB,1,0.25,0.06,>16,>4,1,0.25,>4,>8,4,16,>16,>16,8
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0115152,19/01/2016,CTB,0.25,0.25,0.12,>16,>4,1,1,>4,>8,4,16,>16,>16,8
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0115159,19/01/2016,CTB,≤0.12,0.12,0.06,>16,>4,0.5,0.25,>4,>8,4,16,>16,>16,>16
Africa,South Africa,Gauteng,M. tuberculosis,MDR,TRL0115164,18/01/2016,CTB,0.25,0.12,0.06,4,>4,1,0.5,1,0.5,0.5,2,1,1,1
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0115183,19/01/2016,CTB,0.5,0.25,0.03,>16,>4,1,0.06,≤0.12,2,0.25,2,2,1,16
Africa,South Africa,Western Cape,M. tuberculosis,Pre-XDR,TRL0115197,25/01/2016,CTB,0.5,0.25,0.12,16,>4,1,0.12,0.25,0.5,0.25,16,>16,>16,8
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,XDR,TRL0115207,19/01/2016,CTB,4,0.25,0.12,>16,4,2,0.12,>4,>8,4,4,16,2,>16
Africa,South Africa,Western Cape,M. tuberculosis,XDR,TRL0115283,18/01/2016,CTB,0.25,0.12,0.12,>16,>4,1,0.12,>4,>8,>4,16,>16,>16,4
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,Pre-XDR,TRL0115322,19/01/2016,CTB,0.5,0.25,0.03,4,>4,2,0.06,4,8,2,2,2,1,8
Africa,South Africa,North West,M. tuberculosis,Rif-S,TRL0115368,18/01/2016,CTB,0.25,0.12,≤0.008,8,≤0.06,1,0.06,0.5,1,0.25,2,1,1,2
Africa,South Africa,Western Cape,M. tuberculosis,Rif-R,TRL0115383,19/01/2016,CTB,0.25,0.25,0.03,0.25,>4,2,0.06,>4,8,4,2,1,1,1
Africa,South Africa,Western Cape,M. tuberculosis,Rif-R,TRL0115398,21/01/2016,CTB,0.5,0.25,0.06,0.06,>4,1,0.12,4,4,2,16,>16,>16,16
Africa,South Africa,Western Cape,M. tuberculosis,Pre-XDR,TRL0115399,19/01/2016,CTB,≤0.12,0.12,0.03,2,>4,4,0.25,>4,>8,4,4,4,2,16
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0115400,26/01/2016,CTB,≤0.12,0.12,0.03,8,>4,2,0.06,4,8,2,16,>16,>16,>16
Africa,South Africa,Eastern Cape,M. tuberculosis,Pre-XDR,TRL0115404,19/01/2016,CTB,0.5,0.5,0.03,>16,>4,1,0.06,0.25,1,0.25,16,>16,>16,8
Africa,South Africa,North West,M. tuberculosis,Rif-S,TRL0115412,02/03/2016,CTB,0.25,0.25,0.03,0.12,0.25,1,0.06,0.5,1,0.25,2,2,1,1
Africa,South Africa,Western Cape,M. tuberculosis,XDR,TRL0115418,19/01/2016,CTB,0.25,0.5,0.03,8,>4,1,0.25,2,4,1,16,>16,>16,8
Africa,South Africa,Mpumalanga,M. tuberculosis,XDR,TRL0115420,19/01/2016,CTB,0.5,0.5,0.03,>16,>4,1,0.12,>4,>8,4,16,>16,>16,>16
Africa,South Africa,Western Cape,M. tuberculosis,Rif-R,TRL0115445,18/01/2016,CTB,0.5,0.12,0.03,≤0.03,>4,1,0.06,0.5,0.5,0.25,2,2,1,1
Africa,South Africa,Gauteng,M. tuberculosis,MDR,TRL0115469,18/01/2016,CTB,0.25,0.06,0.03,8,>4,0.5,≤0.015,0.25,0.5,0.12,1,1,0.5,4
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0115487,21/01/2016,CTB,0.5,0.25,0.06,16,>4,0.5,0.12,4,8,4,16,>16,>16,8
Africa,South Africa,Gauteng,M. tuberculosis,XDR,TRL0115510,26/01/2016,CTB,0.5,0.12,0.06,>16,>4,2,0.06,>4,>8,2,16,>16,>16,>16
Africa,South Africa,Western Cape ,M. tuberculosis,XDR,TRL0115518,16/03/2016,CTB,0.25,0.25,0.12,>16,>4,1,0.12,4,8,2,16,>16,>16,8
Africa,South Africa,North West,M. tuberculosis,XDR,TRL0115581,25/01/2016,CTB,0.5,0.5,0.06,>16,>4,1,0.12,>4,>8,>4,16,>16,>16,16
Africa,South Africa,North West,M. tuberculosis,Pre-XDR,TRL0115584,18/01/2016,CTB,0.5,0.12,0.06,16,2,1,0.06,4,8,1,2,2,0.5,16
Africa,South Africa,Western Cape,M. tuberculosis,Pre-XDR,TRL0115591,25/01/2016,CTB,0.5,0.25,0.06,>16,>4,0.25,0.12,4,8,2,2,2,1,8
Africa,South Africa,Eastern Cape,M. tuberculosis,Rif-S,TRL0115600,04/02/2016,CTB,0.5,0.12,0.03,0.06,0.12,0.5,0.03,0.5,0.5,0.25,2,4,1,2
Africa,South Africa,Eastern Cape,M. tuberculosis,MDR,TRL0115619,02/01/2016,CTB,0.25,0.12,0.06,16,>4,2,0.25,0.5,2,0.25,4,1,1,>16
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0115627,25/01/2016,CTB,0.5,0.25,0.06,>16,>4,1,0.06,>4,8,4,8,>16,>16,8
Africa,South Africa,Gauteng,M. tuberculosis,MDR,TRL0115633,16/03/2016,CTB,1,0.12,≤0.008,4,>4,0.5,≤0.015,0.25,0.5,0.12,1,2,0.5,8
Africa,South Africa,Mpumalanga,M. tuberculosis,XDR,TRL0115652,22/01/2016,CTB,0.5,0.25,0.12,>16,>4,1,0.12,>4,>8,4,16,>16,>16,8
Africa,South Africa,North West,M. tuberculosis,Rif-S,TRL0115659,02/03/2016,CTB,0.25,0.12,0.06,0.06,0.12,0.5,0.12,0.5,1,0.25,2,0.25,2,0.5
Africa,South Africa,Western Cape,M. tuberculosis,Rif-R,TRL0115669,21/01/2016,CTB,≤0.12,0.12,0.015,0.25,>4,1,0.06,1,2,1,4,2,2,16
Africa,South Africa,Eastern Cape,M. tuberculosis,Pre-XDR,TRL0115684,27/01/2016,CTB,1,0.12,0.06,16,2,1,0.06,4,8,1,2,2,1,16
Africa,South Africa,Western Cape ,M. tuberculosis,XDR,TRL0115691,16/03/2016,CTB,0.5,0.25,0.015,>16,>4,1,0.03,2,4,1,8,>16,>16,8
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0115694,20/01/2016,CTB,0.5,0.12,0.03,>16,>4,1,0.5,2,4,0.5,16,>16,>16,16
Africa,South Africa,Gauteng,M. tuberculosis,Pre-XDR,TRL0115707,25/01/2016,CTB,0.25,0.06,0.03,8,>4,0.5,0.06,4,8,4,2,1,1,4
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0115767,18/01/2016,CTB,0.25,0.12,0.03,>16,>4,1,≤0.015,0.5,1,0.25,1,0.5,0.5,16
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,Pre-XDR,TRL0115821,18/01/2016,CTB,0.5,0.12,0.03,4,>4,1,0.06,0.25,0.5,0.25,8,>16,>16,8
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,TRL0115824,18/01/2016,CTB,0.5,0.25,0.12,2,>4,1,0.25,1,2,0.5,2,2,1,16
Africa,South Africa,Gauteng,M. tuberculosis,Rif-R,TRL0115834,04/02/2016,CTB,0.25,0.12,0.015,0.12,>4,0.5,0.06,4,>8,4,2,2,1,0.5
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0115846,18/01/2016,CTB,0.5,0.5,0.06,>16,>4,1,0.06,2,4,2,16,>16,>16,16
Africa,South Africa,North West ,M. tuberculosis,Rif-S,TRL0115868,04/02/2016,CTB,0.5,0.06,≤0.008,4,0.5,0.25,≤0.015,4,8,2,2,1,0.25,4
Africa,South Africa,Mpumalanga,M. tuberculosis,XDR,TRL0115878,27/01/2016,CTB,0.5,0.12,0.03,>16,>4,1,0.06,4,8,2,2,16,1,16
Africa,South Africa,Western Cape,M. tuberculosis,Rif-R,TRL0115885,21/01/2016,CTB,0.25,0.12,0.015,0.25,>4,0.5,0.03,0.25,0.5,0.12,8,8,2,2
Africa,South Africa,Gauteng,M. tuberculosis,XDR,TRL0115892,22/01/2016,CTB,0.5,0.5,0.06,16,>4,1,0.25,>4,>8,4,8,>16,>16,>16
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,XDR,TRL0115921,04/02/2016,CTB,0.5,0.12,0.03,16,>4,0.5,0.03,4,8,2,8,>16,>16,16
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-R,TRL0115937,08/02/2016,CTB,0.5,0.06,0.015,0.06,>4,0.25,0.06,0.5,0.5,0.12,2,1,1,2
Africa,South Africa,Eastern Cape,M. tuberculosis,MDR,TRL0116054,08/02/2016,CTB,0.5,0.06,0.03,1,>4,1,0.03,0.5,0.5,0.12,2,2,1,16
Africa,South Africa,Eastern Cape,M. tuberculosis,MDR,TRL0116064,08/02/2016,CTB,≤0.12,0.12,0.06,1,>4,0.5,0.03,0.5,0.5,0.12,2,2,1,8
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-R,TRL0116084,02/03/2016,CTB,0.5,0.06,0.06,0.12,>4,0.5,0.06,0.5,1,0.25,1,2,1,2
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-S,TRL0116109,02/03/2016,CTB,≤0.12,0.03,0.03,≤0.03,≤0.06,0.5,0.06,0.5,1,0.25,2,1,0.5,1
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-S,TRL0116115,25/02/2016,CTB,1,0.25,0.06,0.12,0.25,1,0.25,0.25,0.5,0.12,2,4,1,1
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-S,TRL0116131,20/01/2016,CTB,0.5,0.5,0.06,0.12,0.5,1,0.25,0.5,1,0.25,4,2,1,1
Africa,South Africa,Northern Cape,M. tuberculosis,MDR,TRL0116137,15/02/2016,CTB,0.25,0.06,≤0.008,0.5,>4,0.25,≤0.015,≤0.12,0.25,≤0.06,1,1,0.25,4
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,MDR,TRL0116157,08/02/2016,CTB,0.25,0.12,0.015,4,>4,0.5,0.03,0.25,0.5,0.25,1,2,0.5,8
Africa,South Africa,North West,M. tuberculosis,XDR,TRL0116168,02/01/2016,CTB,0.5,0.25,0.03,4,>4,1,0.25,4,>8,4,16,>16,>16,8
Africa,South Africa,Western Cape ,M. tuberculosis,Pre-XDR,TRL0116187,02/01/2016,CTB,0.25,0.25,0.03,>16,>4,2,0.12,4,8,2,2,4,1,4
Africa,South Africa,Western Cape,M. tuberculosis,MDR,TRL0116219,20/01/2016,CTB,0.25,0.25,0.03,2,>4,0.5,0.03,0.25,1,0.12,2,2,1,16
Africa,South Africa,Mpumalanga,M. tuberculosis,Pre-XDR,TRL0116263,02/03/2016,CTB,0.25,0.06,0.03,16,>4,0.5,0.03,0.25,0.5,0.12,8,>16,>16,8
Africa,South Africa,Western Cape,M. tuberculosis,Rif-R,TRL0116379,02/01/2016,CTB,2,0.12,0.25,0.5,>4,1,0.5,0.25,0.5,0.25,4,2,1,16
Africa,South Africa,Eastern Cape,M. tuberculosis,Rif-R,TRL0116593,02/03/2016,CTB,≤0.12,0.06,≤0.008,0.25,>4,1,0.12,>4,>8,4,4,1,1,16
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-S,TRL0116714,04/02/2016,CTB,0.25,0.12,0.06,0.06,0.25,0.5,0.06,0.5,1,0.25,2,2,0.5,2
Africa,South Africa,Gauteng,M. tuberculosis,MDR,TRL0116726,02/03/2016,CTB,0.25,0.25,0.06,8,>4,1,0.25,0.5,1,0.12,2,2,1,2
Africa,South Africa,Eastern Cape,M. tuberculosis,MDR,UH00100518,20/01/2016,CTB,0.25,0.25,0.015,>16,>4,1,0.03,0.25,0.5,0.12,2,2,0.5,8
Africa,South Africa,Eastern Cape,M. tuberculosis,Rif-R,UH00107527,28/01/2016,CTB,0.5,0.25,0.015,≤0.03,>4,2,0.03,0.5,1,0.25,4,4,2,16
Africa,South Africa,Eastern Cape,M. tuberculosis,MDR,UH00163533,02/03/2016,CTB,0.5,0.12,0.015,2,>4,0.25,0.03,≤0.12,0.25,≤0.06,1,1,0.5,4
Africa,South Africa,Eastern Cape,M. tuberculosis,Rif-S,UH00236601,15/02/2016,CTB,0.5,0.5,0.06,0.06,0.25,1,0.12,0.5,0.5,0.12,1,2,0.5,1
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,UJ00125495,25/01/2016,CTB,0.5,0.25,0.06,>16,>4,1,0.06,4,8,2,16,>16,>16,8
Africa,South Africa,Eastern Cape,M. tuberculosis,Pre-XDR,VB00026760,23/02/2016,CTB,0.5,0.25,0.03,>16,>4,0.5,0.03,>4,>8,4,1,4,1,>16
Africa,South Africa,Eastern Cape,M. tuberculosis,Pre-XDR,VG00072668,20/01/2016,CTB,0.5,0.12,0.015,>16,>4,1,0.06,0.25,0.5,0.12,8,>16,>16,8
Africa,South Africa,Eastern Cape,M. tuberculosis,Rif-S,VG00075805,26/01/2016,CTB,0.5,0.25,0.03,1,≤0.06,1,0.06,0.25,0.5,0.12,2,2,0.5,8
Africa,South Africa,Eastern Cape,M. tuberculosis,Rif-S,WG00050823,04/02/2016,CTB,0.25,0.25,0.03,0.12,≤0.06,0.5,≤0.015,0.25,1,0.25,2,0.5,0.5,1
Africa,South Africa,Mpumalanga,M. tuberculosis,Pre-XDR,TRL0114463,21/01/2016,CTB,≤0.12,0.06,≤0.008,1,>4,0.25,0.03,4,8,1,2,4,1,8
Africa,South Africa,North West ,M. tuberculosis,XDR,TRL0116230,03/03/2016,CTB,0.25,0.12,0.06,16,>4,1,0.25,>4,8,4,4,16,2,16
Africa,South Africa,Western Cape,M. tuberculosis,XDR,TRL0116598,03/03/2016,CTB,1,0.06,0.03,4,>4,0.5,0.03,>4,>8,>4,2,16,2,8
Africa,South Africa,Gauteng,M. tuberculosis,MDR,TRL0116692,23/03/2016,CTB,0.25,0.12,0.12,4,>4,2,0.12,1,4,1,4,4,1,1
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-R,TRL0116715,03/03/2016,CTB,≤0.12,0.06,0.06,0.12,>4,1,0.06,0.25,0.5,0.12,2,2,1,>16
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0116843,03/03/2016,CTB,0.25,0.06,0.12,>16,>4,1,0.06,4,8,1,16,>16,>16,16
Africa,South Africa,Western Cape,M. tuberculosis,Pre-XDR,TRL0116865,23/03/2016,CTB,0.25,0.06,0.03,1,>4,0.5,0.06,4,8,2,2,2,1,16
Africa,South Africa,Mpumalanga,M. tuberculosis,Pre-XDR,TRL0116880,03/03/2016,CTB,1,0.25,0.06,>16,>4,1,0.5,>4,8,4,2,2,1,8
Africa,South Africa,Gauteng,M. tuberculosis,MDR,TRL0116883,03/03/2016,CTB,1,0.06,0.06,8,>4,1,0.5,0.25,1,0.5,2,2,1,8
Africa,South Africa,Eastern Cape,M. tuberculosis,Pre-XDR,TRL0116928,03/03/2016,CTB,0.25,0.06,0.06,4,>4,0.5,0.03,>4,>8,4,2,2,1,16
Africa,South Africa,Eastern Cape,M. tuberculosis,Pre-XDR,TRL0116938,03/03/2016,CTB,0.25,0.06,0.06,4,>4,1,0.25,>4,>8,4,2,2,0.5,16
Africa,South Africa,Eastern Cape,M. tuberculosis,MDR,TRL0117008,03/03/2016,CTB,≤0.12,0.06,0.06,0.5,>4,0.5,0.03,0.25,2,0.25,4,2,0.5,16
Africa,South Africa,Northern Cape,M. tuberculosis,Pre-XDR,TRL0117023,03/03/2016,CTB,0.5,0.06,0.03,>16,>4,1,0.06,2,4,0.5,4,4,1,16
Africa,South Africa,Gauteng,M. tuberculosis,Rif-R,TRL0117027,03/03/2016,CTB,1,0.25,0.12,0.06,>4,0.5,0.5,>4,>8,4,>16,>16,>16,2
Africa,South Africa,Limpopo,M. tuberculosis,Pre-XDR,TRL0117085,03/03/2016,CTB,0.25,0.06,0.03,>16,>4,0.5,≤0.015,0.5,1,0.25,4,2,1,4
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-R,TRL0117139,03/08/2016,CTB,0.5,0.12,0.12,≤0.03,>4,1,0.06,0.5,1,0.25,4,4,1,1
Africa,South Africa,Eastern Cape,M. tuberculosis,MDR,TRL0114820-2,22/01/2016,CTB,1,0.06,0.015,2,>4,0.25,≤0.015,1,1,0.5,1,1,0.5,8
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0118350,30/11/2016,CTB,2,0.5,0.25,16,>4,8,0.5,4,8,1,16,>16,>16,16
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0118354,31/10/2016,CTB,8,0.5,0.5,4,>4,1,1,4,8,2,4,2,0.5,>16
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0119692,27/10/2016,CTB,4,0.5,0.5,4,>4,2,2,2,8,4,4,2,1,>16
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0119723,14/11/2016,CTB,4,0.5,0.5,>16,>4,1,1,>4,>8,4,16,>16,>16,16
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0120480,30/11/2016,CTB,4,0.5,0.25,16,>4,1,1,>4,>8,4,16,>16,>16,8
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0120481,30/11/2016,CTB,2,0.5,0.5,>16,>4,1,2,>4,>8,>4,16,>16,>16,16
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,YA00004560,30/11/2016,CTB,2,0.5,0.25,16,>4,0.5,0.5,4,>8,4,8,>16,>16,8
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,YA00011906,12/12/2016,CTB,2,0.5,0.5,>16,>4,2,2,>4,>8,>4,>16,>16,>16,>16
