Continent,Country,Region (Province or State),Organism,"SubType (e.g., Rif-S, Rif-R, MDR, Pre-XDR, XDR-TB)",WGS_fastqID,Date of DST,Investigator Name,BDQ MGIT,BDQ Agar,BDQ Broth,INH,RMP,LZD,CFZ,LVX,OFX,MXF,CAP,KAN,AMI,EMB
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-S,PM00210785,26/01/2016,CTB,0.5,0.5,0.03,≤0.03,0.12,1,0.06,0.5,0.5,0.25,2,2,1,1
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PM00232791,21/01/2016,CTB,1,0.5,0.12,8,>4,0.5,0.12,1,1,0.25,0.5,1,0.5,16
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-S,PM00233485,04/02/2016,CTB,≤0.12,0.25,0.03,0.06,≤0.06,1,0.03,0.5,0.5,0.12,2,4,1,16
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-S,PN00175023,04/02/2016,CTB,0.5,0.5,0.03,0.06,0.12,1,≤0.015,0.25,0.5,0.12,4,2,1,4
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-R,PO00209791,29/01/2016,CTB,0.5,0.25,0.12,0.12,>4,1,0.25,0.5,1,0.25,4,2,1,1
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PO00214147,26/01/2016,CTB,0.5,0.5,0.06,>16,>4,1,0.5,0.5,1,0.25,2,4,1,>16
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-S,PO00237248,04/02/2016,CTB,0.5,0.25,0.03,0.06,0.12,0.5,≤0.015,0.25,0.5,0.12,2,4,1,1
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-S,PP00150885,02/03/2016,CTB,0.5,0.25,0.06,0.25,0.12,2,≤0.015,0.25,1,0.12,4,4,1,1
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PS00326134,25/01/2016,CTB,1,0.12,0.03,4,>4,1,0.06,1,1,0.25,2,4,1,1
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PS00217691,27/01/2016,CTB,0.5,0.5,0.06,2,>4,1,0.06,≤0.12,0.5,0.25,2,4,1,1
Africa,South Africa,Mpumalanga,M. tuberculosis,Pre-XDR,PS00263922,26/01/2016,CTB,≤0.12,0.015,0.015,0.5,>4,1,0.03,4,4,1,0.25,2,0.5,8
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-R,PS00307966,25/01/2016,CTB,0.5,0.5,0.03,≤0.03,>4,0.5,0.06,0.25,0.5,0.12,2,4,1,1
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-R,PS00308033,02/03/2016,CTB,0.5,0.12,0.03,0.06,>4,1,0.03,0.5,1,0.25,4,2,1,2
Africa,South Africa,Mpumalanga,M. tuberculosis,XDR,PS00313772,25/01/2016,CTB,≤0.12,0.06,0.03,2,>4,8,0.06,>4,>8,2,2,4,0.5,16
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-S,PS00353535,26/01/2016,CTB,0.5,0.25,0.03,0.06,0.25,1,0.03,0.5,1,0.25,2,4,1,1
Africa,South Africa,North West,M. tuberculosis,Pre-XDR,QE00093878,26/01/2016,CTB,0.25,0.25,0.06,4,>4,2,0.12,0.5,1,0.25,2,8,1,1
Africa,South Africa,North West,M. tuberculosis,MDR,QE00098167,21/01/2016,CTB,0.5,0.12,0.06,16,>4,2,1,1,1,0.5,4,4,4,8
Africa,South Africa,North West,M. tuberculosis,Rif-R,QF00383820,25/02/2016,CTB,1,0.12,0.12,0.12,4,1,0.06,1,0.5,0.25,4,2,1,0.5
Africa,South Africa,North West,M. tuberculosis,Rif-R,QF00450839,21/01/2016,CTB,0.5,0.25,0.03,0.12,>4,0.5,0.06,0.25,0.5,0.12,2,2,1,1
Africa,South Africa,North West,M. tuberculosis,MDR,QH00194828,25/02/2016,CTB,0.25,0.06,0.03,2,>4,1,0.06,0.5,0.5,0.12,4,2,1,1
Africa,South Africa,North West,M. tuberculosis,Rif-R,QH00201945,27/01/2016,CTB,0.5,0.25,0.015,0.06,>4,0.25,0.03,0.5,2,0.25,1,1,0.5,2
Africa,South Africa,North West,M. tuberculosis,MDR,RB00104514,02/01/2016,CTB,0.5,0.06,0.03,4,>4,1,0.06,0.25,0.5,0.12,2,2,0.5,1
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-S,RD00095112,28/01/2016,CTB,≤0.12,0.25,0.03,0.5,0.12,0.5,0.06,0.25,0.5,0.12,2,4,1,2
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,RF00127752,25/02/2016,CTB,0.25,0.12,0.015,16,>4,0.5,0.03,0.5,0.5,0.12,1,1,0.5,8
Africa,South Africa,North West,M. tuberculosis,MDR,RJ00247078,21/01/2016,CTB,0.5,0.12,0.06,>16,>4,2,0.06,1,1,0.25,1,2,0.5,16
Africa,South Africa,North West,M. tuberculosis,Rif-S,RJ00263599,20/01/2016,CTB,0.25,0.5,0.06,0.06,0.25,1,0.06,0.25,0.5,0.25,2,2,1,1
Africa,South Africa,North West,M. tuberculosis,Rif-S,RJ00284466,08/02/2016,CTB,0.5,0.25,0.06,0.06,0.12,0.25,0.03,0.5,0.5,0.12,4,4,1,1
Africa,South Africa,Eastern Cape,M. tuberculosis,Rif-R,TH00083947,29/01/2016,CTB,≤0.12,0.06,≤0.008,0.25,>4,0.5,≤0.015,0.25,0.5,≤0.06,2,2,1,2
Africa,South Africa,Gauteng,M. tuberculosis,Rif-R,TRL0016762,28/01/2016,CTB,0.5,0.12,≤0.008,≤0.03,>4,≤0.12,0.03,0.5,1,0.25,1,2,0.5,2
Africa,South Africa,Gauteng,M. tuberculosis,Rif-R,TRL0018609,28/01/2016,CTB,0.25,0.25,0.015,0.25,>4,0.5,≤0.015,0.25,0.5,0.12,2,2,1,2
Africa,South Africa,Northern Cape,M. tuberculosis,Pre-XDR,TRL0022086,25/02/2016,CTB,0.5,0.25,0.06,8,>4,1,0.06,4,8,1,2,4,1,16
Africa,South Africa,Gauteng,M. tuberculosis,MDR,TRL0022753,16/03/2016,CTB,0.5,0.12,0.06,>16,>4,2,0.12,0.5,1,0.25,4,4,0.5,>16
Africa,South Africa,Northern Cape,M. tuberculosis,XDR,TRL0022765,20/01/2016,CTB,1,0.25,0.12,4,>4,1,0.25,4,8,2,8,>16,>16,16
Africa,South Africa,Gauteng,M. tuberculosis,Pre-XDR,TRL0023642,25/01/2016,CTB,0.25,0.06,0.015,16,>4,1,0.12,4,8,2,2,2,1,8
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0023983,20/01/2016,CTB,0.25,0.5,0.06,0.5,>4,2,0.06,0.25,0.5,0.12,2,4,1,1
Africa,South Africa,Gauteng,M. tuberculosis,MDR,TRL0024410,16/03/2016,CTB,0.5,0.25,0.06,1,>4,0.5,0.06,1,1,0.25,4,2,1,4
Africa,South Africa,Gauteng,M. tuberculosis,MDR,TRL0025866,29/01/2016,CTB,0.25,0.25,0.015,>16,>4,8,2,0.5,0.5,0.12,4,2,0.5,>16
Africa,South Africa,Northern Cape,M. tuberculosis,MDR,TRL0031160,25/01/2016,CTB,1,0.25,0.06,1,>4,1,0.25,≤0.12,1,0.5,4,2,1,8
Africa,South Africa,Gauteng,M. tuberculosis,Rif-R,TRL0031813,28/01/2016,CTB,0.5,0.25,0.06,0.06,>4,0.5,0.06,0.5,0.5,0.25,1,2,1,1
Africa,South Africa,North West,M. tuberculosis,Rif-S,TRL0037452,19/01/2016,CTB,0.5,0.5,0.06,0.06,0.12,0.5,0.06,0.25,0.5,0.12,4,4,1,1
Africa,South Africa,North West,M. tuberculosis,Rif-S,TRL0037975,21/01/2016,CTB,0.5,0.25,0.03,0.06,≤0.06,0.5,0.03,0.25,0.5,0.12,2,4,1,1
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-S,TRL0038616,20/01/2016,CTB,≤0.12,0.06,≤0.008,0.25,0.5,1,0.03,0.25,0.5,0.12,2,2,1,2
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-R,TRL0038641,25/01/2016,CTB,0.5,0.5,0.03,≤0.03,>4,0.5,0.06,0.25,0.5,0.12,1,2,0.5,1
Africa,South Africa,Gauteng,M. tuberculosis,Rif-R,TRL0039162,28/01/2016,CTB,0.25,0.12,0.03,0.06,>4,0.5,≤0.015,0.5,0.5,0.12,2,4,1,1
Africa,South Africa,Limpopo,M. tuberculosis,Rif-R,TRL0039481,16/03/2016,CTB,1,0.12,0.03,≤0.03,>4,1,0.03,0.5,0.5,0.12,2,4,1,0.5
Africa,South Africa,Gauteng,M. tuberculosis,MDR,TRL0039576,28/01/2016,CTB,≤0.12,0.25,0.03,8,>4,0.5,0.06,0.5,0.25,0.12,1,1,≤0.12,4
Africa,South Africa,Gauteng,M. tuberculosis,MDR,TRL0039671,20/01/2016,CTB,0.5,0.5,0.06,8,>4,0.5,0.25,0.25,0.5,0.12,2,2,1,4
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0040091,25/01/2016,CTB,0.25,0.25,0.03,8,>4,0.5,0.06,0.5,1,0.25,2,2,0.5,8
Africa,South Africa,Eastern Cape,M. tuberculosis,Rif-S,TRL0041018,16/03/2016,CTB,0.5,0.25,0.06,0.5,0.5,1,0.25,0.5,1,1,4,8,2,2
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-S,TRL0043835,20/01/2016,CTB,0.25,0.5,0.06,0.06,≤0.06,0.5,0.03,0.25,0.5,0.12,2,2,1,1
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0044786,20/01/2016,CTB,0.25,0.5,0.03,8,>4,0.5,0.03,0.5,0.5,0.25,2,2,1,1
Africa,South Africa,Gauteng,M. tuberculosis,Rif-S,TRL0045387,27/01/2016,CTB,0.25,0.5,0.06,0.12,≤0.06,2,0.06,0.25,0.5,0.12,2,4,1,1
Africa,South Africa,Eastern Cape,M. tuberculosis,MDR,TRL0051487,16/03/2016,CTB,0.25,0.25,0.06,>16,>4,2,0.12,2,1,0.25,4,2,1,16
Africa,South Africa,Gauteng,M. tuberculosis,Rif-R,TRL0053150,28/01/2016,CTB,0.5,0.5,0.06,≤0.03,>4,2,0.06,1,1,0.25,2,4,1,1
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0056535,25/01/2016,CTB,0.5,0.25,0.06,16,>4,0.5,1,1,1,0.25,2,2,1,8
Africa,South Africa,Gauteng,M. tuberculosis,Rif-R,TRL0057671,16/03/2016,CTB,≤0.12,0.06,0.015,0.25,>4,1,0.03,0.5,0.5,0.25,4,4,2,2
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-S,TRL0060765,25/02/2016,CTB,≤0.12,0.06,≤0.008,0.06,0.5,0.5,0.03,0.5,1,≤0.06,2,1,0.5,2
Africa,South Africa,Gauteng,M. tuberculosis,Rif-R,TRL0063481,25/01/2016,CTB,0.5,0.12,0.03,0.25,>4,0.5,0.12,0.5,0.5,0.12,2,2,0.5,2
