ROLLINGDB_ID,DB_OF_ORIGIN,Coll2014,Freschi2020,Lipworth2019,Shitikov2017,Stucki2016,F2,Lineage
FS045-145,MICML,4.9,4.2.1.1.1.1.1.1.i2,westafrican1,,4.10/PGG3,0.0126619208775819,4
FS046-146,MICML,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0084804671208119,4
FS048-148,MICML,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0197013028280902,2
FS049A-290,MICML,4.3.2,4.2.1.2.1.1.i1,"lam,pinipedii",,4.3/LAM,0.0112798519519431,4
FS052-151,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0116196447230929,4
FS060-159,MICML,4.9,4.2.1.1.1.1.1.1.i2,canetti,,4.10/PGG3,0.020674486803519,4
FS308-438,MICML,4.3.3,4.2.1.2.1.1.i4.1,"lam,beijing,xtype",,4.3/LAM,0.0213108543284713,4
FS338-469,MICML,1.2.2,1.2.2.1,"indo_oceanic,beijing,ghana",,,0.025153297459642,1
FS348-470,MICML,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0295087239688027,4
FS352-472,MICML,4.3.4.2,4.2.1.2.1.1.i3.1,"lam,beijing",,4.3/LAM,0.0107752685210685,4
FS359-477,MICML,3.1.1,3.1.1.i1,"east_african_indian,ghana",,,0.0158195679796696,3
FS500-243,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0106357457017193,4
FS512-284,MICML,4.3.4.2.1,4.2.1.2.1.1.i3.1,"lam,beijing",,4.3/LAM,0.010225849050215,4
FS519-287,MICML,1.2.2,1.2.2.1,"indo_oceanic,beijing,ghana,mungi",,,0.0181096986051955,1
FS535-367,MICML,2.2.1.1,2.2.1.1.1,beijing,"lin2.2.1,pacific_RD150",,0.0131447918741286,2
FS537-368,MICML,4.9,4.2.1.1.1.1.1.1.i2,canetti,,4.10/PGG3,0.0112772427774962,4
FS550-364,MICML,"4.3.3,4.1.1.1","4.1.i1.2.1,4.2.1.2.1.1.i4.1","lam,xtype",,4.3/LAM,0.3992787863715493,4
FS564-369,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0138941043935411,4
FS582-372,MICML,2.2.1,2.2.1.1.1,beijing,lin2.2.1,,0.0184374116982198,2
FS588A-378,MICML,4.1.1.3,4.1.i1.2.1,xtype,,4,0.0158368833533868,4
FS592-380,MICML,4.1.1.1,4.1.i1.2.1,xtype,,4,0.0133654688869412,4
FS595A-381,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0142921960072595,2
GA010-47,MICML,1.2.2,1.2.2.1,"indo_oceanic,beijing,ghana,stype",,,0.0242770439128882,1
GA012-49,MICML,1.2.2,1.2.2.1,"indo_oceanic,beijing,ghana",,,0.0200334876391214,1
GA016-52,MICML,4.4.2,4.2.1.2.2.2,stype,,4,0.009683788272901,4
GA017-53,MICML,4.3.3,4.2.1.2.1.1.i4.1,"lam,beijing",,4.3/LAM,0.011083552937529,4
GA018-54,MICML,4.3.3,4.2.1.2.1.1.i4.1,"lam,stype",,4.3/LAM,0.0106194690265486,4
GA020-56,MICML,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0125626917271266,4
GA029-117,MICML,"4.1.2.1,4.3.3","4.1.i1.1.1.1,4.2.1.2.1.1.i4.1","lam,haarlem",,4.3/LAM,0.2492395578306996,4
GA030-61,MICML,4.1.2.1,4.1.i1.1.1.1,"haarlem,beijing,indo_oceanic,canetti",,4.1.2/Haarlem,0.0200890142763333,4
GA036-64,MICML,1.1.3,1.1.1.2.i1,"indo_oceanic,canetti,mungi",,,0.0207682000893255,1
GA041-123,MICML,1.2.2,1.2.2.1,"indo_oceanic,beijing,ghana,mungi",,,0.0218095918255232,1
GA050-131,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0186025765486841,2
GA057-133,MICML,4.3.4.2.1,4.2.1.2.1.1.i3.1,"lam,xtype",,4.3/LAM,0.0104355716878402,4
GA059-193,MICML,4.9,4.2.1.1.1.1.1.1.i2,canetti,,4.10/PGG3,0.0093191269768994,4
GA063-223,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.011070017225656,4
GA064A-228,MICML,4.1.1.1,4.1.i1.2.1,xtype,,4,0.0146711137380731,4
GA074-226,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0549940866573486,2
GA322-412,MICML,4.4.1.1,4.2.1.2.2.1.1,"stype,canetti",,4,0.0070806507028367,4
GA329-414,MICML,1.2.2,1.2.2.2,"indo_oceanic,ghana,mungi",,,0.0166650328399176,1
GA359-450,MICML,4.3.3,4.2.1.2.1.1.i4.1,"lam,beijing",,4.3/LAM,0.0071998944103477,4
GA360-451,MICML,1.2.2,1.2.2.1,"indo_oceanic,beijing,ghana,mungi,canetti",,,0.0179919495708969,1
GA509-232,MICML,2.2.1,2.2.1.1.1,"beijing,canetti,mungi","lin2.2.1,asian_african_2",,0.0105678140629596,2
GA514-247,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.007581280069981,4
GA531-277,MICML,4.3.2,4.2.1.2.1.1.i1,"lam,pinipedii",,4.3/LAM,0.0121177149451817,4
GA567A-317,MICML,3.1.1,3.1.1.i1,"east_african_indian,ghana,mungi",,,0.0316686771210293,3
GA569-315,MICML,4.1.2,4.1.i1.1.2,"haarlem,beijing",,4,0.0217680374292046,4
SAMN37124200,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0135942965947836,4
SAMN37124201,MICML,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0093931837073981,2
SAMN37124206,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0046871338176704,4
SAMN37124202,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0050517085259495,4
