pid,Original_ID,SampleID,F2,Coll2014,Freschi2020,Lineage
T0345,S0345-08,MFS-424,0.0078525284027623,4.1.1.1,4.1.i1.2.1,4.0
T0345,S0345-01,MFS-423,,,,
T0346,S0346-02,MFS-768,,,,
T0346,S0346-09,MFS-769,0.0121898639909065,2.2.1,2.2.1.1.1,2.0
T0346,S0346-08,MFS-426,0.0115633030071532,2.2.1.1,2.2.1.1.1,2.0
T0346,S0346-01,MFS-425,,,,
T0360,S0360-01,MFS-770,0.0112167458927528,2.2.1.1,2.2.1.1.1,2.0
T0360,S0360-01,MFS-661,,,,
T0364,S0364-07,MFS-771,0.0112940983202595,2.2.1,2.2.1.1.1,2.0
T0364,S0364-01,MFS-450,0.0900007569449701,2.2.1,2.2.1.1.1,2.0
T0364,S0364-07,MFS-451,,,,
T0365,S0365-07,MFS-772,0.0109220419469726,2.2.1.1,2.2.1.1.1,2.0
T0365,S0365-01,MFS-452,0.0092347586790855,2.2.1.1,2.2.1.1.1,2.0
T0365,S0365-08,MFS-453,,,,
T0376,S0376-01,MFS-773,0.0075057861608011,4.1.1.1,4.1.i1.2.1,4.0
T0376,S0376-07,MFS-469,0.0108414045996253,2.2.1.1,2.2.1.1.1,2.0
T0379,S0379-05,MFS-774,0.0052989479086476,4.3.2,4.2.1.2.1.1.i1,4.0
T0379,S0379-01,MFS-473,0.0063489339796662,4.3.2,4.2.1.2.1.1.i1,4.0
T0382,S0382-01,MFS-775,,,,
T0382,S0382-04,MFS-776,0.0104273504273504,4.3.2.1,4.2.1.2.1.1.i1,4.0
T0382,S0382-05,MFS-477,,,,
T0384,S0384-01,MFS-777,0.009257354453816,2.2.1,2.2.1.1.1,2.0
T0384,S0384-09,MFS-478,0.0075553157042633,2.2.1,2.2.1.1.1,2.0
T0385,S0385-04,MFS-778,0.0117174136161477,2.2.1.1,2.2.1.1.1,2.0
T0385,S0385-04,MFS-666,,,,
T0385,S0385-01,MFS-479,0.0105067985166872,2.2.1.1,2.2.1.1.1,2.0
T0395,S0395-08,MFS-779,0.0063671736823487,4.3.3,4.2.1.2.1.1.i4.1,4.0
T0395,S0395-01,MFS-670,0.0078922445543512,4.3.3,4.2.1.2.1.1.i4.1,4.0
T0395,S0395-08,MFS-489,0.0063344299013088,4.3.3,4.2.1.2.1.1.i4.1,4.0
T0396,S0396-08,MFS-780,0.0104448608508571,2.2.1.1,2.2.1.1.1,2.0
T0396,S0396-01,MFS-671,0.010651294189509,2.2.1.1,2.2.1.1.1,2.0
T0398,S0398-08,MFS-781,0.0052804982624001,4.8,4.2.1.1.1.1.1.1.i1,4.0
T0398,S0398-01,MFS-673,0.0107365792759051,2.2.1.1,2.2.1.1.1,2.0
T0399,S0399-04,MFS-782,,,,
T0399,S0399-08,MFS-783,,,,
T0399,S0399-01,MFS-674,0.0075157424334755,4.8,4.2.1.1.1.1.1.1.i1,4.0
T0402,S0402-01,MFS-784,0.0097959183673469,3,3.1.1,3.0
T0402,S0402-04,MFS-785,,,,
T0402,S0402-01,MFS-676,0.009952499434517,2.2.1.1,2.2.1.1.1,2.0
T0404,S0404-05,MFS-786,0.010177203065134,4.3.3,4.2.1.2.1.1.i4.1,4.0
T0404,S0404-01,MFS-678,0.010051865791527,4.3.3,4.2.1.2.1.1.i4.1,4.0
T0405,S0405-01,MFS-787,0.0107740553295867,3.1.1,3.1.1.i1,3.0
T0405,S0405-04,MFS-788,0.0106797138047138,4.3.3,4.2.1.2.1.1.i4.1,4.0
T0405,S0405-01,MFS-679,,,,
T0406,S0406-02,MFS-789,0.0103970563066917,2.2.1.1,2.2.1.1.1,2.0
T0406,S0406-04,MFS-790,0.0114988203154104,3.1.1,3.1.1.i1,3.0
T0406,S0406-01,MFS-680,,,,
T0407,S0407-07,MFS-791,0.01860957241551,2.2.1.1,2.2.1.1.1,2.0
T0408,S0408-06,MFS-792,0.0073516742289357,4.3.3,4.2.1.2.1.1.i4.1,4.0
T0408,S0408-01,MFS-681,0.0042632139896577,4.3.4.2.1,4.2.1.2.1.1.i3.1,4.0
T0409,S0409-04,MFS-793,0.0034933684222783,4.3.4.2.1,4.2.1.2.1.1.i3.1,4.0
T0409,S0409-01,MFS-682,0.0093901982790871,2.2.1.1,2.2.1.1.1,2.0
T0410,S0410-08,MFS-794,0.0103526607827803,2.2.1.1,2.2.1.1.1,2.0
T0410,S0410-01,MFS-683,0.0068127962085308,4.3.3,4.2.1.2.1.1.i4.1,4.0
T0412,S0412-08 ,MFS-795,0.019587083112758,4.1.1.3,4.1.i1.2.1,4.0
T0412,S0412-01,MFS-684,0.0168421932464058,4.1.1.3,4.1.i1.2.1,4.0
T0413,S0413-08,MFS-796,0.0098025805863311,3,3.1.1,3.0
T0414,S0414-08 ,MFS-797,0.0050821459592319,4.8,4.2.1.1.1.1.1.1.i1,4.0
T0414,S0414-01,MFS-685,0.0098118460640352,3,3.1.1,3.0
T0415,S0415-08,MFS-798,0.0125528455284552,4.3.2.1,4.2.1.2.1.1.i1,4.0
T0415,S0415-01,MFS-686,0.0058153922296461,4.8,4.2.1.1.1.1.1.1.i1,4.0
T0416,S0416-06,MFS-799,0.0171306209850107,4.1.1.3,4.1.i1.2.1,4.0
T0416,S0416-01,MFS-687,0.0094370022556737,4.3.2.1,4.2.1.2.1.1.i1,4.0
T0417,S0417-04,MFS-800,0.0058659179049498,4.1.1.1,4.1.i1.2.1,4.0
T0417,S0417-01,MFS-688,0.0091390970572107,4.1.1.1,4.1.i1.2.1,4.0
T0420,S0420-01,MFS-801,0.0105125715624895,2.2.1.1,2.2.1.1.1,2.0
T0421,S0421-05,MFS-802,0.0107082247771111,3.1.1,3.1.1.i1,3.0
T0421,S0421-01,MFS-691,0.0126620054570259,3.1.1,3.1.1.i1,3.0
T0422,S0422-04,MFS-803,0.0066347361809045,4.3.3,4.2.1.2.1.1.i4.1,4.0
T0422,S0422-01,MFS-692,0.0179005592025285,4.1.1.3,4.1.i1.2.1,4.0
T0423,S0423-08,MFS-804,0.0032857440359117,4.3.4.2.1,4.2.1.2.1.1.i3.1,4.0
T0423,S0423-01,MFS-693,0.0031691535719001,4.3.4.2.1,4.2.1.2.1.1.i3.1,4.0
T0424,S0424-07,MFS-805,0.010833741230217,2.2.1,2.2.1.1.1.i2,2.0
T0424,S0424-01,MFS-694,0.0098139084200849,2.2.1,2.2.1.1.1.i2,2.0
T0425,S0425-01,MFS-806,0.0113231507284207,2.2.1.1,2.2.1.1.1,2.0
