Drug,Model,Num_Loci,Binned_MAE,Binned_MSE,MAE,MSE,Within_doubling,Spearman,Spearman_pval,Sensitivity,Specificity,Precision,Accuracy,Balanced_Acc,F1,CV,Addl_Data,Binned_MAE_exp,Binned_MSE_exp,Without_doubling
Moxifloxacin,CNN,1,0.561777273936938,0.9750389366174664,0.9649191009649192,1.848340301334264,0.8164456233421751,0.5443797869905742,6.5269712682838005e-146,0.6876790830945558,0.9765625,0.8695652173913043,0.9230769230769232,0.8321207915472779,0.768,2,"– Lineage
 AF = 25%",1.4760865069890976,1.9656942481165383,0.18355437665782492
Moxifloxacin,CNN,1,0.5308200420232914,0.9736973608489096,0.9750097289432909,1.8246252315084448,0.8222811671087533,0.5403032392998733,2.3954715571357855e-143,0.8653295128939829,0.9602864583333334,0.8319559228650137,0.9427055702917772,0.9128079856136582,0.8483146067415731,3,"– Lineage
 AF = 25%",1.4447501723549372,1.9638671800724234,0.17771883289124668
Moxifloxacin,CNN,1,0.5961179345710851,1.11348783110056,1.0327853536925748,2.0483509189452174,0.8047745358090186,0.5234181015397266,4.322055847987308e-133,0.8022922636103151,0.962890625,0.8308605341246291,0.93315649867374,0.8825914443051576,0.8163265306122448,4,"– Lineage
 AF = 25%",1.511643494098058,2.1636810276882,0.1952254641909814
Moxifloxacin,CNN,1,0.4353284145140045,0.8571804286360879,0.9361213893633692,1.6197378569679957,0.8684350132625994,0.6282026417469685,1.7096071096087435e-207,0.8595988538681948,0.9654947916666666,0.8498583569405099,0.9458885941644564,0.9125468227674308,0.8547008547008548,0,+ Lineage,1.352218616492394,1.811494503894286,0.13156498673740058
Moxifloxacin,CNN,1,0.4324846505091773,0.8308872777846884,0.9389004181176768,1.5948886328552012,0.8546419098143236,0.6324479520909113,3.9721320349957005e-211,0.8681948424068768,0.9641927083333334,0.8463687150837989,0.946419098143236,0.916193775370105,0.8571428571428572,1,+ Lineage,1.349555820064051,1.7787790001540142,0.14535809018567636
Moxifloxacin,CNN,1,0.4724595493900769,0.9050218872421304,0.9074927435030576,1.6591174651233187,0.8620689655172413,0.6269069973549408,2.1414596666568967e-206,0.833810888252149,0.9654947916666666,0.8459302325581395,0.9411140583554376,0.8996528399594078,0.8398268398268399,2,+ Lineage,1.3874728579209665,1.8725729036071386,0.13793103448275867
Moxifloxacin,CNN,1,0.4369050770772462,0.8725303630738204,0.9319311526279628,1.6337854904451763,0.8445623342175066,0.6333534444333888,6.555029958014364e-212,0.8681948424068768,0.9641927083333334,0.8463687150837989,0.946419098143236,0.916193775370105,0.8571428571428572,3,+ Lineage,1.3536972088613917,1.8308712768484898,0.1554376657824934
Moxifloxacin,CNN,1,0.4551016616840634,0.8728555298331413,0.9291020534056388,1.6372875124534254,0.8408488063660478,0.6243848531428711,2.837263388167982e-204,0.8538681948424068,0.9654947916666666,0.8490028490028491,0.9448275862068966,0.9096814932545368,0.8514285714285714,4,+ Lineage,1.3708794026629099,1.8312839805448309,0.15915119363395225
Moxifloxacin,CNN,1,0.4342975390452715,0.8467132026021732,0.9386955142357628,1.6110237874685462,0.8673740053050398,0.6352208706010757,1.5653875733314247e-213,0.8653295128939829,0.962890625,0.841225626740947,0.9448275862068966,0.9141100689469914,0.8531073446327684,0,"+ Lineage
 AF = 25%",1.3512527359354942,1.7983990799555982,0.13262599469496017
Moxifloxacin,CNN,1,0.4323578197411113,0.8409083232651458,0.9499239546700124,1.6168811060960746,0.8419098143236075,0.6322062249338986,6.418925016218582e-211,0.8653295128939829,0.9635416666666666,0.8435754189944135,0.9453580901856764,0.9144355897803248,0.8543140028288544,1,"+ Lineage
 AF = 25%",1.3494371826023523,1.79117751534763,0.15809018567639255
Moxifloxacin,CNN,1,0.4726507715236318,0.9054112786895132,0.910989244896956,1.662483548310724,0.8636604774535809,0.6234016185071696,1.8834004194472768e-203,0.7765042979942693,0.9720052083333334,0.8630573248407644,0.9358090185676392,0.8742547531638014,0.817496229260935,2,"+ Lineage
 AF = 25%",1.3876567728139493,1.87307838970375,0.13633952254641912
Moxifloxacin,CNN,1,0.4352730437418766,0.8694465717691583,0.9306954163809924,1.631787832685362,0.8440318302387267,0.6346861391822204,4.5730619688391846e-213,0.8624641833810889,0.962890625,0.840782122905028,0.9442970822281168,0.9126774041905444,0.8514851485148516,3,"+ Lineage
 AF = 25%",1.3521667192099098,1.8269619302356026,0.15596816976127326
