covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,binarize_MICs,tb_deaths_only,include_drugs,num_pids,significant
EMB_pred_MIC,3.1786956287072914,7.997386915587264,0.0063636221663576084,8.0039626584925,2.829127543694787,0.0008222364348059463,1.1235603837626829,42965360.03918115,0.0008215609174861767,379.70337846339294,379.70002289087216,0.2611995767287113,1.9599640397536326,-2.366292620811015,8.723683878225598,24.015408104543518,0.09382793800230108,6146.781424671514,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
HIV_High_CD4,0.03148012447336911,0.2451431057920537,0.015539303470873784,0.26120038604528995,0.511077671245076,0.06550165953619382,0.06159557782416504,7673.644086526503,0.061474948396332184,356.6541459738344,340.81386505805085,0.9508865027800529,1.960273177807841,-0.970371726244847,1.0333319751915853,1.0319808642286599,0.3789421491768376,2.81041448265272,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
HIV_Low_CD4,0.9534842416754473,0.2278347666985005,0.008880844732526582,0.237011639588778,0.4868384121952355,0.04027863272694222,1.958523028977989,19344.072650186146,0.03871908108057311,365.30173019071606,358.5310762112984,0.05018301988466796,1.960086627645789,-0.0007612198927423597,1.9077297032436369,2.5947346100960598,0.9992390697616187,6.737774673318679,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
INH_pred_MIC,-11.385898624828508,304.58572034913016,0.6819362122428704,305.2903877684478,17.472560996272062,0.0023135274316534293,-0.6516445200710874,5443219.837531443,0.0023081873768397146,379.138437240634,379.11203082178724,0.5146305480945964,1.9599644203614646,-45.63149651011721,22.859699260460197,1.1354474929441323e-05,1.5222741221560812e-20,8469177728.693808,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
PZA_pred_MIC,-0.2323100956232971,1.9199815595238634,0.0007455078271682519,1.9207519176119374,1.385911944393271,0.00040123202447053796,-0.16762255103082943,180283198.91784304,0.00040107110190036577,379.8631711464036,379.86237076275376,0.8668802292471203,1.9599639976986356,-2.9486476106146218,2.484027419368027,0.7927002723049658,0.052410537496311964,11.989453871878037,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
RIF_pred_MIC,-5.998166957095293,26.945546414561303,0.0004876541890733344,26.94605032389001,5.19095851687239,1.870102468721143e-05,-1.1555027722913214,82924609333.07224,1.870067496542723e-05,380.0084778676585,380.00847612624005,0.24788459800378917,1.9599639845686614,-16.172258695555133,4.175924781364547,0.002483300002663002,9.472776454083515e-08,65.10001511296825,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
bl_prevtb,0.6480614369824141,0.12855467233508014,0.00014952207953814974,0.1287091784839362,0.35876061445473106,0.0012018711264991204,1.8063895836709452,20124518.548317343,0.0012004283663062266,379.55940292841353,379.5522443659413,0.07085752240566502,1.959964102419712,-0.05509648871089723,1.3512193626757254,1.911831029406049,0.9463938272274549,3.8621320002770174,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
diabetes,0.8956802539631084,0.3972856636802418,8.619072552874007e-05,0.39737472742995483,0.6303766552069919,0.00022418062833678038,1.420865202676328,577293320.7167563,0.00022413038264676926,379.93041137723765,379.9301613361974,0.15535595134287825,1.9599639886493534,-0.3398352895278258,2.1311957974540423,2.4490011657073247,0.7118875684440822,8.424935306489957,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
total_adherence,-0.8350904839227506,0.22328764832829556,0.00014681899925173626,0.223439361294189,0.4726937288500758,0.0006794507758458727,-1.7666629213683014,62903087.577202655,0.0006789894359468275,379.7575578482711,379.7552651955947,0.07728470138065961,1.9599640222531671,-1.7615531860135931,0.09137221816809193,0.4338352245440149,0.17177785355883163,1.0956767601633548,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
EMB_pred_MIC,3.214244287582875,8.268516884777299,0.007066981950359419,8.27581943279267,2.8767723985036895,0.0008831750744581184,1.117309207101235,37245273.5428829,0.000882395764513093,380.6793375391749,380.6754467024839,0.2638621473596242,1.9599640482332712,-2.4241261884341534,8.852614763599904,24.88447929360046,0.08855546603425729,6992.649211219566,0,predicted,False,False,"RIF,INH,EMB",358,
HIV_High_CD4,0.03254966889329502,0.2446442450496729,0.015448094841205635,0.2606072763855854,0.5104970875387884,0.06524997689061247,0.06376073377856802,7729.303138716967,0.06125320657698809,357.67712021323626,341.857504209752,0.9491623933026743,1.9602709509507479,-0.968162942353953,1.0332622801405429,1.0330852040684493,0.37978007554998977,2.8102186174973967,0,predicted,False,False,"RIF,INH,EMB",358,
HIV_Low_CD4,0.9620312768111282,0.22524882038389485,0.008652766573145338,0.23419001250947838,0.4839318263035387,0.03969473451778754,1.9879479391952806,19894.997254739254,0.03817922049609882,366.46866757305116,359.8403572213863,0.046831130797629676,1.9600832312570122,0.013484619001980835,1.9105779346202756,2.617006943598795,1.0135759465206864,6.756992770353326,0,predicted,False,False,"RIF,INH,EMB",358,1.0
INH_pred_MIC,-11.164934543773587,303.25511101168195,0.6997822792483164,303.9782193669052,17.434971160483897,0.002384488600409458,-0.6403758538516395,5124791.157017147,0.002378816339964345,380.1091780395045,380.0809871791946,0.5219283056010406,1.9599644474412157,-45.33685816048494,23.006989072937767,1.4162193921042845e-05,2.0438671996136995e-20,9813149146.633982,0,predicted,False,False,"RIF,INH,EMB",358,
RIF_pred_MIC,-6.040969384884762,26.194892143094602,0.0004601558121422861,26.195367637433815,5.118141033366882,1.815217778398235e-05,-1.1803053775778454,88014918610.33296,1.815184828840511e-05,381.00862790509984,381.00862625574797,0.23787878012059355,1.959963984567007,-16.072341478218416,3.990402708448891,0.0023792513850262095,1.0468170431586815e-07,54.076662107716885,0,predicted,False,False,"RIF,INH,EMB",358,
bl_prevtb,0.6402282319297034,0.12632161459987426,0.00016141724296135401,0.12648841241760098,0.35565209463406927,0.0013204218316482674,1.8001531316396004,16677031.63755108,0.0013186806169726455,380.51310622875803,380.5044244127362,0.07183648008775138,1.9599641267878742,-0.05683711517003864,1.3372935790294453,1.8969137661931064,0.9447479419423086,3.8087215400281296,0,predicted,False,False,"RIF,INH,EMB",358,
diabetes,0.8984120466137192,0.3968658526009942,8.224100292899834e-05,0.3969508349706875,0.6300403439230599,0.00021413374100174573,1.4259595520813708,632723206.5298235,0.00021408789755933812,380.9339732246895,380.9337438817429,0.15388001830734394,1.9599639882893571,-0.3364443386449195,2.133268431872358,2.4557004754895155,0.714305641689604,8.442415225861993,0,predicted,False,False,"RIF,INH,EMB",358,
total_adherence,-0.8325743891915798,0.22414197053558887,0.0001427339567590249,0.22428946229090652,0.4735920842781333,0.000658028279867561,-1.7579989548613775,67062578.6952352,0.0006575955633901348,380.7649899101064,380.76282803149695,0.07874769171213891,1.959964019914048,-1.7607978344928226,0.09564905610966301,0.43492816946657187,0.1719076552385285,1.1003728271034399,0,predicted,False,False,"RIF,INH,EMB",358,
