covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,binarize_MICs,tb_deaths_only,include_drugs,num_pids,significant
HIV_Low_CD4,1.08272288546252,0.21252210866606047,0.00711060779081331,0.21986973671656757,0.46890269429442133,0.03457347612738277,2.309056652130654,25967.765683803274,0.03341809637030157,370.21581623301415,365.01193412880326,0.02094824782813342,1.9600553431865915,0.16364765407615056,2.001798116848889,2.9527085022034427,1.1777992492090585,7.402354437599894,0,predicted,False,False,INH,358,1.0
INH_pred_MIC,-1.2376182335683936,1.2801588882658794,0.0005356832085596242,1.280712427581391,1.1316856575840268,0.0004323989159356958,-1.0936060073523566,155240238.29616296,0.00043221202792336725,382.84992002714,382.84897585376456,0.27412781508225975,1.959963999821345,-3.4556813815472323,0.9804449144104448,0.2900742850182586,0.03156578868080024,2.6656419606595665,0,predicted,False,False,INH,358,
bl_prevtb,0.5919100398280593,0.1247681900247407,0.00016307490607348035,0.12493670076101662,0.35346386061522134,0.0013505905330718924,1.6745984689857984,15941269.796169005,0.0013487688985661871,382.4988645721239,382.4896870177091,0.09401305948841925,1.959964133353256,-0.10086644941434908,1.2846865290704677,1.8074373979190523,0.9040537617333199,3.6135350414703016,0,predicted,False,False,INH,358,
diabetes,0.8461857788482706,0.39112367463216263,8.203299325185642e-05,0.3912084420585229,0.6254665794896822,0.00021672793507059441,1.3528872790272393,617669900.9299862,0.000216680974250476,382.93247175365116,382.9322343498424,0.17609164444756725,1.9599639883807318,-0.3797061928871809,2.072077750583722,2.3307399187206914,0.68406236207781,7.941306041480795,0,predicted,False,False,INH,358,
total_adherence,-0.9445666794009636,0.22616231358211641,0.00018670035147102284,0.2263552372786365,0.4757680498716118,0.0008530320258242716,-1.985351222419957,39921600.41999635,0.000852304982378533,382.68901792930086,382.6853495022079,0.04710541565991753,1.9599640439633053,-1.8770549504158633,-0.012078408386063888,0.3888480302620689,0.1530401535656587,0.987994242790801,0,predicted,False,False,INH,358,1.0
EMB_pred_MIC,-0.950033021939065,1.9191992576178374,0.00021645925323366365,1.9194229321795122,1.3854323989930046,0.00011654577334112602,-0.6857303341755198,2135532407.578443,0.00011653219200668944,382.970830285943,382.97076160675556,0.49288317448570174,1.9599639856509108,-3.6654306285192972,1.765364584641167,0.386728252726849,0.025593147771034743,5.843702493931829,0,predicted,False,False,EMB,358,
HIV_High_CD4,0.2072640296089033,0.22050088728807576,0.011286392235701305,0.23216349259830044,0.48183346977799335,0.052891421225838176,0.4301569787262828,11491.975681711388,0.05023444978235161,363.7748928294967,352.6130375069596,0.6670895204490923,1.960170434407457,-0.7372116921578782,1.1517397513756849,1.230307366473959,0.4784461124176794,3.1636921624282723,0,predicted,False,False,EMB,358,
HIV_Low_CD4,1.122011636252546,0.2156034636424473,0.007283375695146775,0.22312961852743232,0.47236597943483644,0.034907393220111875,2.3753015354640485,25489.78313014612,0.03372996796505395,370.0963645894673,364.7996918377546,0.01754197123306784,1.9600570564172333,0.1961473650498572,2.047875907455235,3.0710257805201575,1.21670619209235,7.75141887656605,0,predicted,False,False,EMB,358,1.0
bl_prevtb,0.559214274272802,0.12360762590986153,5.826942462874475e-05,0.12366783764864457,0.35166438211545475,0.00048711993568216006,1.5901931009015484,122334568.5025519,0.00048688276538080296,382.82898028927,382.82778228308655,0.11179128773672818,1.9599640039317212,-0.1300352561383794,1.2484638046839835,1.749297492133105,0.8780644732122663,3.4849852252744835,0,predicted,False,False,EMB,358,
diabetes,0.8540335329054385,0.3909880468115861,6.322209832076215e-05,0.39105337631318426,0.6253426071468218,0.00016708823231520076,1.3657050121725085,1039085747.1956178,0.00016706031850189225,382.95147723213256,382.95133609673513,0.17203157082234943,1.959963986823091,-0.37161545652839223,2.079682522339269,2.349102952416172,0.6896193801730189,8.001928077580839,0,predicted,False,False,EMB,358,
total_adherence,-1.0014763939729543,0.23252853874677631,0.000150319045694913,0.23268386842732772,0.4823731630463367,0.0006680026520123803,-2.07614450946715,65076119.8938272,0.0006675567223514807,382.75977936982304,382.75752809566524,0.03788059156280941,1.959964020993845,-1.946910438236772,-0.056042349709136685,0.36733670692509307,0.14271431584871358,0.9454990934309132,0,predicted,False,False,EMB,358,1.0
HIV_High_CD4,0.18781919421367294,0.21919986965340926,0.011356955669479711,0.23093539051187165,0.4805573748387092,0.05353799195692106,0.39083614995339777,11229.85747903338,0.050817333941109745,363.5516391830198,352.1512139064731,0.6959257663810892,1.9601752537029768,-0.7541574799296304,1.1297958683569762,1.2066153325918436,0.4704067749697773,3.095024643170297,0,predicted,False,False,PZA,358,
HIV_Low_CD4,1.0937245493959062,0.21695510298319592,0.007508331242143858,0.22471371193341125,0.47403977885132303,0.03576135727407277,2.307242130705111,24327.048394895468,0.034526637842707195,369.7912277066889,364.25426207956986,0.021049679791972656,1.960061505094918,0.16457742698571998,2.0228716718060924,2.9853725588634172,1.178894844292272,7.560003641007636,0,predicted,False,False,PZA,358,1.0
PZA_pred_MIC,0.02076772323451119,1.6235318906450427,0.0010950083086581205,1.624663399230656,1.2746228458766367,0.00069694262991276,0.016293230034040342,59787319.68143666,0.0006964572391728688,382.74871002496525,382.7462597455755,0.9870004585304368,1.9599640242185559,-2.47744719913077,2.518982645599792,1.0209848730291349,0.08395727847222412,12.415958805753602,0,predicted,False,False,PZA,358,
