covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,binarize_MICs,tb_deaths_only,include_drugs,num_pids,significant
F2,0.44258827449092214,0.06358386817393209,4.784387588346123e-06,0.06358881204110671,0.25216822171143355,7.775348239431583e-05,1.7551310450108741,4797619850.726626,7.77474372603216e-05,380.98592105934523,380.98589080470543,0.07923689525080238,1.9599639850345223,-0.05165235823368808,0.9368289072155324,1.5567312564077243,0.9496589505790919,2.551876337498847,0,predicted,False,True,"RIF,INH,EMB,PZA",358,
HIV_High_CD4,0.35398116363067283,0.2613799000298159,0.015737171682936674,0.2776416441021838,0.5269171131232917,0.06221497548400968,0.6717966731664035,8453.430163774463,0.0585709832001387,358.6990890124073,344.0981869185529,0.5017315053698572,1.9602446522817951,-0.6789052895650214,1.3868676168263672,1.4247283495177514,0.507171894947077,4.002293680195724,0,predicted,False,True,"RIF,INH,EMB,PZA",358,
HIV_Low_CD4,1.2107490275876782,0.24526547270904642,0.008578630220806573,0.25413005727054655,0.5041131393551913,0.036142814818521184,2.4017406670580765,23833.800080556375,0.034882078321270354,367.7249299925755,362.13761166949035,0.016324877523343127,1.9600635234155572,0.22265525146306409,2.1988428037122922,3.355997446026975,1.2493897741847804,9.014575827698316,0,predicted,False,True,"RIF,INH,EMB,PZA",358,1.0
INH_pred_MIC,-15.826722520218969,297.2376201920324,1.39663582709287,298.68081054669506,17.2823843999228,0.004855342179533834,-0.9157719301909327,1242125.2922680264,0.004831881740313569,379.1745219914212,379.0588094753134,0.3597867066621341,1.959965894390467,-49.69960651781352,18.04616147737558,1.3382638381760793e-07,2.604564618062089e-22,68761976.11492974,0,predicted,False,True,"RIF,INH,EMB,PZA",358,
PZA_pred_MIC,-0.3919294635670147,2.2298371025768744,0.0022788382517853626,2.232191902103719,1.494052175161135,0.0010560410552517894,-0.2623264903882923,26058725.71661575,0.00105492700901997,380.613600453185,380.6080412942862,0.7930697426348093,1.959964075575639,-3.3202180539184813,2.536359126784452,0.675751777399563,0.036144949346844375,12.633589835104734,0,predicted,False,True,"RIF,INH,EMB,PZA",358,
RIF_pred_MIC,-8.065482025249484,14.287054561078138,0.0003427682712934823,14.287408754958475,3.779868880656904,2.47912457268498e-05,-2.133799420007337,47187050394.8878,2.4790631136221578e-05,381.00609842564126,381.00609534925394,0.03285920341309814,1.9599639845903276,-15.47388889781077,-0.657075152688197,0.00031419962512608895,1.904475710563794e-07,0.5183652586472196,0,predicted,False,True,"RIF,INH,EMB,PZA",358,1.0
total_adherence,-1.124429408628998,0.22159397403750097,6.345921220729971e-05,0.22165954855678185,0.4708073369827427,0.00029592194266879756,-2.388300521897376,331360438.0389572,0.0002958343987788026,380.9028265370539,380.9023886851566,0.016926494925932966,1.9599639916992404,-2.047194836142984,-0.20166398111501238,0.3248377641141365,0.12909653306431693,0.8173695334025793,0,predicted,False,True,"RIF,INH,EMB,PZA",358,1.0
EMB_pred_MIC,2.550115846348027,10.022264598080904,0.008659192834688129,10.031212430676748,3.167208933852762,0.0008927954863173101,0.8051618632074046,36447618.14055966,0.0008919991135349469,381.674746385155,381.6707495783956,0.4207262858587427,1.9599640496271962,-3.6574998016614666,8.757731494357522,12.808587524806454,0.025796929605856448,6359.668258480753,0,predicted,False,True,"RIF,INH,EMB",358,
F2,0.43620273174052676,0.062478133929812794,2.5607319860707693e-06,0.06248078001953173,0.24996155708334777,4.235225274033282e-05,1.7450792707099287,16168947560.193819,4.235045910298523e-05,381.9993253439954,381.999316319074,0.08097107136841461,1.9599639846867716,-0.053712917699061447,0.926118381180115,1.546822352952103,0.9477041365365517,2.5246902480941094,0,predicted,False,True,"RIF,INH,EMB",358,
HIV_High_CD4,0.35566438950995405,0.26073880605662103,0.01557462442592482,0.2768325846300767,0.5261488236517086,0.061723756493541615,0.6759767836056039,8580.574558451915,0.05813541998663666,359.8068721167329,345.32639539123454,0.4990736035623362,1.960240492854196,-0.6757138398797267,1.3870426188996348,1.427128508584846,0.5087930941433886,4.002994151177734,0,predicted,False,True,"RIF,INH,EMB",358,
HIV_Low_CD4,1.2322686605402473,0.23842461619433467,0.007944897581252665,0.24663434369496243,0.49662293915501166,0.034433220997349474,2.4812962982276128,26172.645153400954,0.03328704095963842,369.2993381512327,364.16098059034084,0.013096781394744605,1.9600546279985838,0.2588605702792076,2.205676750801287,3.428999955626902,1.2954531675617864,9.076391945391187,0,predicted,False,True,"RIF,INH,EMB",358,1.0
INH_pred_MIC,-15.391541796192284,296.7282914086011,1.4508376351873493,298.22749029829464,17.269264324177062,0.005052429893276223,-0.8912679490720427,1147558.5197838568,0.005027031170714872,380.0951000302881,379.9692463625102,0.37278562578350705,1.959966051775536,-49.238713610717724,18.455630018333153,2.067941886128415e-07,4.129508675604001e-22,103556717.76809737,0,predicted,False,True,"RIF,INH,EMB",358,
RIF_pred_MIC,-8.048749178494983,14.071542340540502,0.0004152895671452692,14.07197147309322,3.751262650507589,3.0496483067135827e-05,-2.145610672557384,31183508009.500984,3.0495553060018303e-05,382.0038541019008,382.00384942228163,0.031904053253008116,1.9599639846161283,-15.401088870325495,-0.6964094866644706,0.00031950131175841143,2.048293035399288e-07,0.49837150471707936,0,predicted,False,True,"RIF,INH,EMB",358,1.0
total_adherence,-1.1256144148979175,0.22315356299273711,6.671894205950295e-05,0.22322250589953194,0.47246429060780026,0.00030894826804563985,-2.382432783332417,304014834.5111551,0.0003088528484930169,381.8975172994284,381.89703756780364,0.017198672072319024,1.9599639923431968,-2.051627412157178,-0.1996014176386569,0.32445305731228385,0.1285255692234983,0.8190571497585065,0,predicted,False,True,"RIF,INH,EMB",358,1.0
