covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,OR,OR_lower,OR_upper,MIC_type,include_drugs,num_pids
HIV_Low_CD4,0.8247548940947412,0.278545021587345,0.0052244905294163355,0.2839436618010752,0.5328636427840383,0.019381571363095894,1.5477785081858213,80222.01840644902,0.01901306822447188,373.77126950800636,372.0378667772765,0.12167957730394854,1.9599935563017896,-0.21965441214947246,1.8691642003389548,2.281321531417192,0.8027961866371914,6.482875748959834,measured,"RIF,INH,EMB",315
INH_midpoint,-0.012376496786862312,0.05215881707902092,5.672768893935009e-06,0.05216467894021132,0.22839588205615993,0.00011238485684057511,-0.054188791301495856,2296571733.992484,0.00011237222790382927,380.97272847590085,380.9726652772672,0.9567847508147187,1.9599639855730158,-0.46002420007011796,0.43527120649639334,0.9876997770575596,0.6312683685832924,1.5453821197930564,measured,"RIF,INH,EMB",315
RIF_midpoint,0.04120127019572549,0.04069023904503422,4.259463472739399e-06,0.04069464049062272,0.2017291265301635,0.0001081695682255896,0.20424056210626024,2479029845.7033024,0.00010815786883561745,380.974334212214,380.9742756645441,0.8381655153890484,1.9599639854969892,-0.3541805526291602,0.4365830930206112,1.0420618204266494,0.7017482534243072,1.5474108161895557,measured,"RIF,INH,EMB",315
bl_prevtb,0.49941516147072273,0.1244116974685032,3.222064760029418e-05,0.12444499213769017,0.35276761775663334,0.0002676168709570073,1.415705797053227,405138428.18457276,0.00026754527132865497,380.9136051343398,380.91324699739675,0.15686166115817984,1.9599639903955122,-0.1919966663098871,1.1908269892513326,1.6477573168831257,0.8253096198136161,3.289800712555663,measured,"RIF,INH,EMB",315
diabetes,1.3183679585366852,0.34713688573774165,5.296522561515934e-05,0.3471916164708773,0.5892296805753061,0.00015766326018437914,2.2374432279946768,1167008249.949454,0.00015763840639929595,380.9554813582747,380.9553570000867,0.025257386101728382,1.959963986572834,0.1634990047892706,2.4732369122841,3.7373169410599694,1.1776241832026166,11.860777077410491,measured,"RIF,INH,EMB",315
intercept,-1.9267930371556083,0.031660509094940406,1.281838655205103e-05,0.03167375476104419,0.17797121891205947,0.0004183655437777792,-10.826430525868851,165824803.43476677,0.00041819058724534353,380.85620692733846,380.8553322022418,2.5802363600062708e-27,1.9599639988459427,-2.2756102190539753,-1.5779758552572416,0.1456144305579762,0.1027341989382803,0.20639244385856506,measured,"RIF,INH,EMB",315
total_adherence,-1.4428268591174072,0.9192141931591942,3.922443012004759e-05,0.9192547250703182,0.9587777245380278,4.409408756488778e-05,-1.5048606389062813,14916796887.706747,4.409214336205745e-05,380.9987442494597,380.99873451814534,0.13235990976310244,1.9599639846990873,-3.321996668543684,0.4363429503088696,0.23625894305648176,0.036080718549159625,1.5470392613748536,measured,"RIF,INH,EMB",315
HIV_High_CD4,0.2616082768627338,0.19568219692237854,0.0032858393388226397,0.19907756423916195,0.4461810890649244,0.017351437024852284,0.5863275770180991,99694.01962181786,0.01705549959765616,376.4829438267843,375.06654835200885,0.5576567300269071,1.9599877803459724,-0.6129012055259759,1.1361177592514435,1.2990175875064383,0.5417767810111814,3.114653030167826,predicted,RIF,316
HIV_Low_CD4,0.9168629251615793,0.2876182747711541,0.004997243570568662,0.2927820931274084,0.5410934236593606,0.017953721335554635,1.694463257307633,93227.7292909604,0.01763707029038546,376.2601932581078,374.74773920769053,0.09018062790665281,1.9599894308479704,-0.14367446631211067,1.9774003166352694,2.5014308925530773,0.8661696695761149,7.223938600021641,predicted,RIF,316
RIF_pred_MIC,2.325940028573221,1.7219959029975958,0.0012672417659257181,1.7233053861557188,1.3127472666723472,0.0007604449905157937,1.771810985727049,50225313.2897606,0.0007598671533455745,382.72442304727144,382.7215066519674,0.07642594441190043,1.959964031772637,-0.24699739691242195,4.898877454058864,10.236297977118921,0.781142726911659,134.13911781606967,predicted,RIF,316
bl_prevtb,0.4776968794133396,0.11787524086978922,3.877537145028416e-05,0.11791530875362118,0.3433879857444363,0.0003399177260322315,1.3911286918723522,251157164.29396623,0.0003398022212338889,382.88531441211967,382.8847307101141,0.16418640699848328,1.9599639939854194,-0.19533120861293407,1.1507249674396132,1.612356670802828,0.8225621732573967,3.1604833268559283,predicted,RIF,316
diabetes,1.24312279338751,0.3353237707980074,3.063182331416787e-05,0.3353554236820987,0.5790988030397738,9.439499029841786e-05,2.146650600661196,3255233094.461406,9.438608072524348e-05,382.97931258902946,382.97926753138466,0.03182110835410848,1.95996398526881,0.10810999551727729,2.3781355912577427,3.466421498485165,1.1141702923841796,10.784776875936346,predicted,RIF,316
intercept,-1.969022259852553,0.034207176882237095,1.8621114058822083e-05,0.03422641870009788,0.18500383428485442,0.0005625082106899795,-10.643142978435824,91754783.9359614,0.0005621919730891328,382.8001356981423,382.798538666072,1.8769600338397802e-26,1.9599640103945235,-2.33162311683586,-1.606421402869246,0.13959327546262895,0.09713795281828581,0.20060421276159726,predicted,RIF,316
total_adherence,-1.582364779915562,1.0027591943441696,2.4155036795407363e-05,1.0027841545488583,1.0013911096813564,2.489152413597387e-05,-1.5801665948672863,46807628540.54129,2.489090456342216e-05,383.0059303161671,383.00592718220065,0.11406871967915509,1.959963984590735,-3.545055289380371,0.38032572954924704,0.20548858790116137,0.02886702642555802,1.462760976316842,predicted,RIF,316
HIV_High_CD4,0.27943140072255185,0.20225615135057273,0.003168153278082077,0.2055299097379242,0.4533540666387853,0.01618619935903477,0.6163646061328745,114302.25876850936,0.015928379434048904,376.91464827913916,375.6758474763895,0.537655135199167,1.9599847391248655,-0.6091356513096646,1.1679984527547684,1.3223776955289723,0.5438207167134207,3.2155501176944417,predicted,INH,316
HIV_Low_CD4,0.7816042739510843,0.27218002275448877,0.004726189830468684,0.27706375224597307,0.5263684567353681,0.01794301228304885,1.4848995298820424,93337.08212885897,0.01762673555055518,376.26415162327834,374.75343071301376,0.13757381771925567,1.959989401034938,-0.2500723222893545,1.813280870191523,2.1849747533525727,0.778744460452537,6.130527939824887,predicted,INH,316
INH_pred_MIC,-0.6166850085668492,0.16590779686663,6.350832097635447e-07,0.16590845311928007,0.40731861376480216,3.955526277143833e-06,-1.514011360460294,1853501260597.8618,3.955510631017592e-06,383.0139488957864,383.0139488166391,0.13002295819216386,1.9599639845413337,-1.4150148217791634,0.18164480464546506,0.5397306778466041,0.24292201288563023,1.1991881721559157,predicted,INH,316
bl_prevtb,0.4916231862957401,0.11623601934419509,2.2952282429301005e-05,0.11625973670270535,0.34096882071929296,0.00020404482744756152,1.441842058340212,696825493.7653011,0.00020400320164948218,382.9373275366053,382.93711709522864,0.14934693538248553,1.9599639879444517,-0.1766634233259622,1.1599097959174425,1.6349679247971933,0.838061809115232,3.18964554408909,predicted,INH,316
diabetes,1.1631386619952182,0.3490336224880763,1.8339277741936822e-05,0.34905257307507626,0.5908067138033185,5.4294445517634265e-05,1.9687295943329968,9838623730.370287,5.4291497790865385e-05,382.99466943431264,382.99465452522423,0.04898415101182911,1.959963984781172,0.005178780973796648,2.3210985430166398,3.1999611272426294,1.0051922140389402,10.186858864256225,predicted,INH,316
