covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,HR_TCC_assoc,HR_TCC_assoc_lower,HR_TCC_assoc_upper,exclude_resistance,MIC_type,binarize_MICs,include_drugs,num_pids,significant
cxr_cavity_chest_radiograph_1,-0.40012027181615645,0.02489839488086443,0.014645346840130306,0.04003191994899908,0.2000797839587975,0.6078112721943159,-1.9998035978415158,202.922701797037,0.3780364540950036,236.97777881694202,109.31602319751224,0.0468550484179991,1.9717233525097742,-0.7946222542128281,-0.00561828941948489,1.4920041328973286,1.0056341016060961,2.2136046590180736,0,predicted,False,INH,374,1.0
diabetes,0.36720999471456844,0.057316887627749676,0.020478377923113016,0.07847787814829979,0.28013903360349446,0.3691929446340895,1.3108133843079977,398.8600295885466,0.26964274544429134,278.2774666891637,163.9161310776747,0.19067503077707357,1.9659293948547933,-0.18352356609275605,0.9179435555218929,0.6926641739553449,0.39933941660521627,1.2014432784018176,0,predicted,False,INH,374,
predicted_label,-0.4761591896614213,0.03127248913640894,0.006744462707138104,0.038241767267118316,0.19555502363048186,0.22285652096031602,-2.434911570265591,873.1690081558435,0.18224257477508934,311.57829026600535,229.63589538196166,0.015094741576053504,1.962684542690455,-0.8599720117864347,-0.0923463675364079,1.6098792716974542,1.0967446330365407,2.363094553985181,0,predicted,False,INH,374,1.0
screen_sex,0.23543896097166836,0.026044542343549432,0.009708983347844133,0.036077158469655035,0.18993988119838087,0.3852099220545692,1.2395446363671587,375.00257973357964,0.2780877583400635,275.059785506244,158.67420521683755,0.215919020746384,1.966310117006688,-0.13804174905175634,0.608919670995093,0.7902238960355241,0.5439381839677376,1.1480234781653071,0,predicted,False,INH,374,
screen_years,-1.1241796012385987,0.06284014278412202,0.022755057867409723,0.0863537025804454,0.2938600050711995,0.3741805596639194,-3.8255617703614364,391.1318283783013,0.27229359128427194,277.2674532192735,162.25051240067498,0.00015182233361213032,1.9660476218827294,-1.7019223653752773,-0.54643683710192,3.0776908791232533,1.7270881447671973,5.484480439598678,0,predicted,False,INH,374,1.0
smear_pos_no_contam_sputum_specimen_1,-0.42728163624464843,0.02705088439838974,0.008772576520142836,0.036115880135870665,0.190041785236486,0.33510903392203123,-2.2483562534047112,460.3193119849098,0.25099750313096986,285.3815938329585,176.16534712702864,0.025025836913909267,1.9651308651311183,-0.8007386140774864,-0.053824658411810555,1.5330843730539425,1.0552995480329446,2.2271853515745335,0,predicted,False,INH,374,1.0
EMB_pred_MIC,0.40641074122964593,0.34659009151196335,0.05338115997372696,0.40175062348481455,0.6338380104449516,0.1591520742333374,0.6411902324134006,1538.3467025576833,0.1373004265541262,328.7019473208071,270.83255533708865,0.5214946059010129,1.9615072693326487,-0.83686712383747,1.649688606296762,0.6660365425657451,0.19210972106513202,2.3091214415044297,0,predicted,False,EMB,374,
RIF_AUC,0.5427978491976869,0.07512912024370144,0.022560589243643583,0.09844172912879981,0.31375424957886994,0.31030057066391403,1.730009553420379,517.1002046681504,0.23681632871966796,290.7848417164274,186.12165411263481,0.08422524034679467,1.9645622018665656,-0.07359189019996981,1.1591875885953438,0.5811200893829902,0.31374096411154356,1.07636743974699,0,predicted,False,EMB,374,
cxr_cavity_chest_radiograph_1,-0.4010386878249707,0.024734329861440273,0.014519692880431104,0.03973801250455241,0.19934395527467696,0.606593456429245,-2.0117925686403564,203.4297864826701,0.3775649987878309,237.15741061729568,109.50132396541925,0.0455609802692826,1.9716938682479217,-0.7940839421123392,-0.00799343353760218,1.4933750428146437,1.0080254663212205,2.21241336951597,0,predicted,False,EMB,374,1.0
diabetes,0.3886949310889905,0.056018720049422564,0.020097669875870448,0.0767863122544887,0.27710343241195823,0.3707259320945553,1.402707024253434,396.4544751180698,0.27045955972253527,277.96624775255776,163.40091446807338,0.16148681844526738,1.965965699786886,-0.15608091232613303,0.933470774504114,0.6779410572102468,0.39318667711752675,1.168920779362948,0,predicted,False,EMB,374,
