Drug,Model,Num_Loci,Binned_MAE,Binned_MSE,MAE,MSE,Within_doubling,Spearman,Spearman_pval,Sensitivity,Specificity,Precision,Accuracy,Balanced_Acc,F1,CV,Addl_Data,Binned_MAE_exp,Binned_MSE_exp,Without_doubling
Ethambutol,LinReg,2,0.3461976393377473,0.444442066816917,0.6845882359078317,0.8460609826228515,0.8913370055082624,0.7745896234133028,0.0,0.7504553734061931,0.9116022099447514,0.762962962962963,0.8673009514271407,0.8310287916754722,0.7566574839302111,4,– Lineage,1.2712058238675363,1.3607877575319571,0.10866299449173755
Ethambutol,LinReg,2,0.3441387691808732,0.4347357264634449,0.6773700236518069,0.8339463791067139,0.8988482724086129,0.7848869619128734,0.0,0.7978142076502732,0.8977900552486188,0.7474402730375427,0.8703054581872809,0.8478021314494459,0.771806167400881,0,+ Lineage,1.26939297984245,1.3516632120645862,0.10115172759138713
Ethambutol,LinReg,2,0.3413087440155646,0.4263639111190463,0.6781377004131084,0.823774288048437,0.900350525788683,0.785442930457342,0.0,0.8014571948998178,0.8970994475138122,0.7470288624787776,0.8708062093139709,0.849278321206815,0.773286467486819,1,+ Lineage,1.2669053488491226,1.3438423590990778,0.09964947421131698
Ethambutol,LinReg,2,0.3406238860732535,0.4278753798905877,0.6741464061111233,0.822058699739566,0.8968452679018528,0.7838703271909356,0.0,0.8032786885245902,0.8984806629834254,0.75,0.872308462694041,0.8508796757540078,0.7757255936675462,2,+ Lineage,1.2663040822901122,1.345251000617211,0.10315473209814718
Ethambutol,LinReg,2,0.3421451600291182,0.4261574422845849,0.6754042878842859,0.8225036478339739,0.899349023535303,0.7837857925351704,0.0,0.7795992714025501,0.9053867403314916,0.7575221238938054,0.8708062093139709,0.8424930058670209,0.7684021543985637,3,+ Lineage,1.2676400620938932,1.3436500511584195,0.100650976464697
Ethambutol,LinReg,2,0.3394196236664251,0.4254050211037999,0.6753733881256015,0.8190816040006239,0.8973460190285428,0.786757333515657,0.0,0.7996357012750456,0.8984806629834254,0.7491467576791809,0.871306960440661,0.8490581821292356,0.773568281938326,4,+ Lineage,1.2652474999431829,1.342949468471246,0.10265398097145717
Ethionamide,CNN,4,0.4085760382756263,0.690062917075822,0.8654754739625923,1.2659664825432986,0.9021739130434784,0.5715432490161977,6.845412915093748e-176,0.7032640949554896,0.938352104327208,0.6950146627565983,0.8992094861660079,0.8208080996413488,0.6991150442477876,0,– Lineage,1.327375028184459,1.6133538765531548,0.09782608695652162
Ethionamide,CNN,4,0.3996611767398527,0.6906132344910504,0.8695417209602085,1.2816714512945095,0.9041501976284584,0.590853088179146,8.611382931547555e-191,0.685459940652819,0.947836395969176,0.7241379310344828,0.9041501976284584,0.8166481683109975,0.7042682926829269,1,– Lineage,1.319198054937661,1.6139694093362187,0.09584980237154161
Ethionamide,CNN,4,0.4030297894021941,0.7111337931541396,0.8743776349969041,1.3009678219463712,0.8972332015810277,0.5879313174956751,1.7963942467216337e-188,0.6735905044510386,0.942501481920569,0.7006172839506173,0.8977272727272727,0.8080459931858038,0.686838124054463,2,– Lineage,1.3222819079195196,1.6370901771798643,0.1027667984189723
Ethionamide,CNN,4,0.3893342709207351,0.6701631535708609,0.8539693852605388,1.2371533516556186,0.8799407114624506,0.5991579280226281,1.6264368789297543e-197,0.629080118694362,0.950800237107291,0.7186440677966102,0.8972332015810277,0.7899401779008265,0.670886075949367,3,– Lineage,1.3097888646284097,1.5912529112316534,0.12005928853754944
Ethionamide,CNN,4,0.3827422105284071,0.6514128600367113,0.8508314105840371,1.2164951557520012,0.8977272727272727,0.610793006225247,2.8348946050697086e-207,0.655786350148368,0.954949614700652,0.7441077441077442,0.9051383399209486,0.80536798242451,0.6971608832807572,4,– Lineage,1.3038177404067437,1.5707056662289307,0.10227272727272729
Ethionamide,CNN,4,0.3733557973308233,0.6585622618648248,0.8379097154037755,1.2157775616154003,0.8873517786561265,0.6489501175253176,2.518719715070584e-242,0.5519287833827893,0.973325429756965,0.8051948051948052,0.9031620553359684,0.7626271065698771,0.6549295774647886,0,+ Lineage,1.2953624216373307,1.5785087544150693,0.11264822134387353
Ethionamide,CNN,4,0.3686886339156353,0.6458014294033069,0.8430110980382142,1.2132089249219402,0.8913043478260869,0.6476313233979017,4.9789445798779263e-241,0.629080118694362,0.9626556016597512,0.7709090909090909,0.9071146245059288,0.7958678601770566,0.6928104575163399,1,+ Lineage,1.2911786547934667,1.5646081980930873,0.10869565217391308
