covariate,coef,exp(coef),se(coef),coef_transformed,se_transformed,imp_num,pval,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,tb_deaths_only,include_drugs,num_pids,significant
HIV_Low_CD4,0.3180043380452847,1.3743822233469525,0.1494290479803598,1.0754562045801486,0.5053528445014417,1,0.03332636308269289,2.931329881659997,1.0886983734479834,7.89263131522751,0,predicted,False,INH,373,1.0
HIV_High_CD4,0.08011729198167224,1.083414136013749,0.19484001709527568,0.21491964176783696,0.5226705201885163,1,0.6809293618009744,1.2397622678589584,0.44508244087444604,3.4533163738992907,0,predicted,False,INH,373,
fstrom1_baseline,0.0754239955130681,1.0783412658287084,0.1954299736776147,0.160894969326203,0.4168925208269096,1,0.6995420474004386,1.1745615973391057,0.5188194396036704,2.659104190463012,0,predicted,False,INH,373,
diabetes,0.24985944502950838,1.2838449532160046,0.14208701127450804,1.164316971082905,0.6621095255287228,1,0.07866314673143068,3.2037338928245767,0.8751203556456078,11.728570578684412,0,predicted,False,INH,373,
INH_pred_MIC,-0.27327545129256,0.7608831725075272,0.3665173536554838,-0.7882950065562432,1.0572621812030745,1,0.4559088975939598,0.4546192577218726,0.05724065942939697,3.6106968639400887,0,predicted,False,INH,373,
bl_bmi,-0.31044387728951084,0.7331214680211153,0.22968629547390412,-0.0931444879428034,0.06891426742310919,1,0.17650347709952507,0.9110618533327154,0.7959539312608294,1.042816258578218,0,predicted,False,INH,373,
screen_sex,0.046829218177548856,1.0479430241769128,0.200375790182889,0.09559180810659242,0.409024212442492,1,0.8152124786672688,1.1003098347595652,0.4935747724058544,2.452884142695015,0,predicted,False,INH,373,
Lineage_2,0.0705307503961864,1.0730775664836822,0.18591587116358824,0.1408768400082888,0.37134498484409445,1,0.7044137386063791,1.151282847266909,0.5560228123728271,2.383809018113186,0,predicted,False,INH,373,
smear_pos_no_contam_sputum_specimen_1,0.02940898383529011,1.0298456986004416,0.236974106567884,0.06717851562340978,0.5413165177543825,1,0.9012344369104678,1.0694863811625717,0.37017390753209667,3.089902060136526,0,predicted,False,INH,373,
INH_AUC,-0.02190198033205857,0.9783361265337657,0.20756102965689566,-0.0033239269984530824,0.031500243349841,1,0.9159626638448731,0.996681591131246,0.9370081774926641,1.0601553091650462,0,predicted,False,INH,373,
screen_years,0.04713902607964332,1.0482677355032177,0.19951774009229037,0.003695174270015208,0.015639967154921573,1,0.8132271716258284,1.0037020098434097,0.9734015413896234,1.0349456845173222,0,predicted,False,INH,373,
F2,-0.00570255534905905,0.9943136733566774,0.18744480899951138,-0.010289719124257704,0.3382263420246081,1,0.9757300341800325,0.9897630389253415,0.5100731316686327,1.9205694485769167,0,predicted,False,EMB,372,
EMB_pred_MIC,-0.06001467089586571,0.9417507171561964,0.21438770079243763,-0.4404870543517384,1.5735320281129483,1,0.7795271956748004,0.6437228167189594,0.0294649706151263,14.063447412768266,0,predicted,False,EMB,372,
TTP_baseline,-0.03686508609199305,0.9638061574332231,0.23965938704252987,-0.10235966888861468,0.6654387146284149,1,0.8777494292397916,0.9027048184353631,0.24497586500367607,3.326352125398941,0,predicted,False,EMB,372,
screen_sex,-0.009369571670377901,0.9906741859960948,0.19978049127979136,-0.019117156500356655,0.4076210793699888,1,0.9625934601667159,0.9810644174359007,0.4412958391350815,2.181047963301153,0,predicted,False,EMB,372,
high_lung_involvement,-0.09072541767600777,0.9132684438460129,0.21196314219270207,-0.18152450601495848,0.4240984022505494,1,0.6686332841777971,0.8339978070903151,0.3632216226398557,1.9149530173238443,0,predicted,False,EMB,372,
HIV_Low_CD4,0.3296982792674465,1.3905485078484046,0.1514242097552569,1.113664090224486,0.5114849406243187,1,0.02945703533861354,3.0454969512430963,1.1175871465625704,8.299175333716772,0,predicted,False,EMB,372,1.0
HIV_High_CD4,0.10447866446527228,1.1101317083599302,0.1958235161637916,0.27996861285556146,0.5247429077072331,1,0.5936634141498973,1.3230882837226419,0.4730715717791482,3.7004180994020275,0,predicted,False,EMB,372,
fstrom1_baseline,0.09263560896195963,1.0970619028992483,0.1971031002949309,0.1978998623494714,0.42107648294338723,1,0.638365341545672,1.2188403359028412,0.5339810759443459,2.782068188084224,0,predicted,False,EMB,372,
diabetes,0.26267921038288733,1.3004094941708886,0.14557933276857804,1.2224926123211084,0.6775171074894363,1,0.0711730755876052,3.395641210743813,0.8999495999621528,12.812249966649928,0,predicted,False,EMB,372,
bl_bmi,-0.29964855421213943,0.7410786238810704,0.23645175525875534,-0.08978523785553766,0.07084925586604635,1,0.20505825219016882,0.9141274841704998,0.7956091528879448,1.05030096031786,0,predicted,False,EMB,372,
EMB_AUC,-0.22664260843563355,0.7972056459561019,0.2121471954635668,-0.04881734295406504,0.045695125330457206,1,0.2853729662721096,0.9523550681759112,0.8707693542579829,1.041584859923347,0,predicted,False,EMB,372,
Lineage_2,0.07487281449384464,1.0777470683609642,0.18821973022214256,0.14954638387649546,0.3759385862440764,1,0.690781511141022,1.1613073354987844,0.5558372710371804,2.426312156014228,0,predicted,False,EMB,372,
smear_pos_no_contam_sputum_specimen_1,0.03874171103374353,1.039501957087009,0.23982831887012396,0.08841929843965893,0.547354547195644,1,0.8716686205300601,1.0924460869491688,0.3736723627876151,3.1938097963345164,0,predicted,False,EMB,372,
screen_years,0.12249447229786363,1.1303128720238649,0.2102833237443482,0.009589598262136992,0.016462233422514704,1,0.56021573571218,1.0096357257897985,0.9775793769768657,1.042743252157637,0,predicted,False,EMB,372,
F2,-0.0171133734168432,0.9830322285943303,0.18646344353515343,-0.030920209101371016,0.3368996002970498,1,0.9268738634212207,0.9695529314894082,0.5009588624786899,1.8764672258886177,0,predicted,False,PZA,373,
PZA_pred_MIC,-0.12505811899173544,0.8824456142448353,0.1817364530005216,-0.8689971129622608,1.2628404637038535,1,0.4913715659385318,0.41937192108331917,0.03529129521099614,4.983461421339809,0,predicted,False,PZA,373,
TTP_baseline,-0.03503281195184684,0.9655737333789366,0.23654028023415963,-0.09734881966471969,0.6572957122485152,1,0.8822598576691787,0.90723948795859,0.250167460624958,3.2901300850844932,0,predicted,False,PZA,373,
