covariate,coef,exp(coef),se(coef),coef_transformed,se_transformed,imp_num,pval,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,tb_deaths_only,include_drugs,num_pids,significant
F2,0.04520572736656759,1.0462430786031207,0.17962194526027678,0.08157685526791007,0.32414019826777196,1,0.8012949749814632,1.0849966020842243,0.5748039463021831,2.048033306151714,0,measured,True,INH,372,
high_lung_involvement,0.08348695508417468,1.087071034450243,0.22931310142256234,0.16709745191148626,0.4589655341843178,1,0.715802696080692,1.1818694351320913,0.4807256887402593,2.9056391085731255,0,measured,True,INH,372,
screen_years,-0.1885677422126725,0.8281444012042688,0.22581720923174217,-0.014782371624406035,0.017702465261980167,1,0.4036918466370063,0.9853263512444391,0.9517255572267944,1.020113425645166,0,measured,True,INH,372,
bl_bmi,-0.30646318857224825,0.7360456125705546,0.2583331692476036,-0.09193050398599109,0.07749282566650516,1,0.23549995004208046,0.9121685394199871,0.7836336497282456,1.0617862627468047,0,measured,True,INH,372,
INH_AUC,0.10860852607606607,1.114725878799524,0.23501892190066287,0.016460786819617775,0.03561963790277169,1,0.643990441965894,1.0165970120024406,0.9480458427053443,1.0901049698854022,0,measured,True,INH,372,
Lineage_2,0.08836298401136873,1.0923845682045572,0.19846554438902386,0.17649082402963687,0.39640294929608416,1,0.6561529309412776,1.193023479561281,0.5485676448127927,2.5945843438692626,0,measured,True,INH,372,
diabetes,0.22250681929733662,1.2492043383174245,0.17261467700299266,1.0355328173309548,0.8033379082675215,1,0.19738499436025292,2.816606572682182,0.5833426378329472,13.599678937832637,0,measured,True,INH,372,
screen_sex,0.1438075470359098,1.1546618690410568,0.2209289367603877,0.29341697564569735,0.45077119937707705,1,0.5150967173522246,1.341001838976456,0.5542838602135399,3.2443411421819857,0,measured,True,INH,372,
EMB_midpoint,0.11042711137030212,1.1167549473477045,0.2173964460821452,0.27211436739798783,0.5357080853255309,1,0.6114865162246796,1.3127371270556625,0.4593907214357862,3.7512267539152604,0,measured,True,EMB,371,
HIV_Low_CD4,0.4136160591542752,1.5122763907309367,0.1550327392595389,1.4131281520455197,0.5296726843351885,1,0.007632079746357102,4.108788236407679,1.4549750710153526,11.603044689872894,0,measured,True,EMB,371,1.0
TTP_baseline,0.07240592632896138,1.075091663513313,0.2567918927460812,0.2008152483734849,0.7122031349728787,1,0.7779715413323656,1.2223989107728557,0.30268057246102315,4.936752580151416,0,measured,True,EMB,371,
smear_pos_no_contam_sputum_specimen_1,0.185199288874154,1.2034582520711221,0.2664446635772355,0.4223039738819979,0.6075651852247567,1,0.48700767935913614,1.5254721579072328,0.4637072245791565,5.0183934629487545,0,measured,True,EMB,371,
HIV_High_CD4,0.181753027868926,1.1993179591883014,0.20125179119573805,0.4865129300412372,0.5387068361870496,1,0.3664661388213847,1.626634131778749,0.5659027320149046,4.675606688178907,0,measured,True,EMB,371,
bl_bmi,-0.27595101988218823,0.7588500984182179,0.2651885552055422,-0.08266663093102962,0.07944252001557665,1,0.2980685684924108,0.9206580149724658,0.7879102362488523,1.0757712510100361,0,measured,True,EMB,371,
fstrom1_baseline,0.07932456961166588,1.082555629715681,0.20749610507849636,0.1693433151632566,0.4429658867293549,1,0.7022431129921083,1.1845267351141044,0.49715478178566225,2.8222671039398715,0,measured,True,EMB,371,
F2,0.04488513717914623,1.0459077170981392,0.18153445070628252,0.08089130237565094,0.3271585889349156,1,0.8047115791709805,1.0842530344321732,0.571021881228547,2.0587733698506883,0,measured,True,EMB,371,
high_lung_involvement,0.04950191865459679,1.0507476082346188,0.23120246497825295,0.09906086405549976,0.4626712776996646,1,0.8304641147016351,1.1041334995564251,0.4458564780176253,2.7343121496476828,0,measured,True,EMB,371,
screen_years,-0.10655914126653877,0.8989218832104332,0.23443019920392466,-0.008342495764786496,0.018353497604723348,1,0.649436407087542,0.9916922062853868,0.9566528609529084,1.0280149384883186,0,measured,True,EMB,371,
